stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,11-32-01,65,57.75,7.25,1,0,1,7.26
1,11-32-02,65,57.75,7.25,1,0.0,1,7.26
2,11-32-03,65,57.5,7.5,1,-0.25,1,32.51
3,11-32-04,65,57.5,7.5,1,0.0,1,7.51
4,11-32-05,65,57.5,7.5,1,0.0,1,7.51
5,11-32-06,65,57.5,7.5,1,0.0,1,7.51
6,11-32-07,65,57.5,7.5,1,0.0,1,7.51
7,11-32-08,65,57.5,7.5,1,0.0,1,7.51
8,11-32-09,65,57.5,7.5,1,0.0,1,7.51
9,11-32-10,65,57.5,7.5,1,0.0,1,7.51
10,11-32-11,65,57.5,7.5,1,0.0,1,7.51
11,11-32-12,65,57.375,7.625,1,-0.125,1,20.134999999999998
12,11-32-13,65,57.375,7.625,1,0.0,1,7.635
13,11-32-14,65,57.375,7.625,1,0.0,1,7.635
14,11-32-15,65,57.375,7.625,1,0.0,1,7.635
15,11-32-16,65,57.375,7.625,1,0.0,1,7.635
16,11-32-17,65,57.375,7.625,1,0.0,1,7.635
17,11-32-18,65,57.375,7.625,1,0.0,1,7.635
18,11-32-19,65,57.375,7.625,1,0.0,1,7.635
19,11-32-20,65,57.375,7.625,1,0.0,1,7.635
20,11-32-21,65,57.375,7.625,1,0.0,1,7.635
21,11-32-22,65,57.25,7.75,1,-0.125,1,20.259999999999998
22,11-32-23,65,57.25,7.75,1,0.0,1,7.76
23,11-32-24,65,57.25,7.75,1,0.0,1,7.76
24,11-32-25,65,57.25,7.75,1,0.0,1,7.76
25,11-32-26,65,57.25,7.75,1,0.0,1,7.76
26,11-32-27,65,57.25,7.75,1,0.0,1,7.76
27,11-32-28,65,57.25,7.75,1,0.0,1,7.76
28,11-32-29,65,57.25,7.75,1,0.0,1,7.76
29,11-32-30,65,57.25,7.75,1,0.0,1,7.76
30,11-32-31,65,57.25,7.75,1,0.0,1,7.76
31,11-32-32,65,57.25,7.75,1,0.0,1,7.76
32,11-32-33,65,57.125,7.875,1,-0.125,1,20.384999999999998
