stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,13-03-20,54,19.375,34.625,1,0,1,37.231874999999995
1,13-03-21,54,19.375,34.625,1,0.0,1,37.231874999999995
2,13-03-22,54,19.375,34.625,1,0.0,1,37.231874999999995
3,13-03-23,54,19.4375,34.5625,1,0.0625,1,32.1646875
4,13-03-24,54,19.375,34.625,1,-0.0625,1,42.231874999999995
5,13-03-25,54,19.4375,34.5625,1,0.0625,1,32.1646875
6,13-03-26,54,19.4375,34.5625,1,0.0,1,37.1646875
7,13-03-27,54,19.375,34.625,1,-0.0625,1,42.231874999999995
8,13-03-28,54,19.4375,34.5625,1,0.0625,1,32.1646875
9,13-03-29,54,19.375,34.625,1,-0.0625,1,42.231874999999995
10,13-03-30,54,19.4375,34.5625,1,0.0625,1,32.1646875
11,13-03-31,54,19.4375,34.5625,1,0.0,1,37.1646875
12,13-03-32,54,19.4375,34.5625,1,0.0,1,37.1646875
13,13-03-33,54,19.4375,34.5625,1,0.0,1,37.1646875
14,13-03-34,54,19.4375,34.5625,1,0.0,1,37.1646875
15,13-03-35,54,19.375,34.625,1,-0.0625,1,42.231874999999995
16,13-03-36,54,19.375,34.625,1,0.0,1,37.231874999999995
17,13-03-37,54,19.375,34.625,1,0.0,1,37.231874999999995
18,13-03-38,54,19.375,34.625,1,0.0,1,37.231874999999995
19,13-03-39,54,19.4375,34.5625,1,0.0625,1,32.1646875
20,13-03-40,54,19.5,34.5,1,0.0625,1,32.0975
21,13-03-41,54,19.4375,34.5625,1,-0.0625,1,42.1646875
22,13-03-42,54,19.5,34.5,1,0.0625,1,32.0975
23,13-03-43,54,19.4375,34.5625,1,-0.0625,1,42.1646875
24,13-03-44,54,19.5,34.5,1,0.0625,1,32.0975
25,13-03-45,54,19.4375,34.5625,1,-0.0625,1,42.1646875
26,13-03-46,54,19.4375,34.5625,1,0.0,1,37.1646875
27,13-03-47,54,19.375,34.625,1,-0.0625,1,42.231874999999995
28,13-03-48,54,19.4375,34.5625,1,0.0625,1,32.1646875
29,13-03-49,54,19.4375,34.5625,1,0.0,1,37.1646875
30,13-03-50,54,19.5,34.5,1,0.0625,1,32.0975
31,13-03-51,54,19.5,34.5,1,0.0,1,37.0975
32,13-03-52,54,19.5,34.5,1,0.0,1,37.0975
33,13-03-53,54,19.5,34.5,1,0.0,1,37.0975
34,13-03-54,54,19.5,34.5,1,0.0,1,37.0975
35,13-03-55,54,19.5,34.5,1,0.0,1,37.0975
36,13-03-56,54,19.4375,34.5625,1,-0.0625,1,42.1646875
37,13-03-57,54,19.5,34.5,1,0.0625,1,32.0975
38,13-03-58,54,19.5,34.5,1,0.0,1,37.0975
39,13-03-59,54,19.5625,34.4375,1,0.0625,1,32.030312499999994
40,13-04-00,54,19.5625,34.4375,1,0.0,1,37.030312499999994
41,13-04-01,54,19.5625,34.4375,1,0.0,1,37.030312499999994
42,13-04-02,54,19.5625,34.4375,1,0.0,1,37.030312499999994
43,13-04-03,54,19.5,34.5,1,-0.0625,1,42.0975
44,13-04-04,54,19.5,34.5,1,0.0,1,37.0975
45,13-04-05,54,19.5625,34.4375,1,0.0625,1,32.030312499999994
46,13-04-06,54,19.5625,34.4375,1,0.0,1,37.030312499999994
47,13-04-07,54,19.5625,34.4375,1,0.0,1,37.030312499999994
48,13-04-08,54,19.5625,34.4375,1,0.0,1,37.030312499999994
49,13-04-09,54,19.625,34.375,1,0.0625,1,31.963124999999998
50,13-04-10,54,19.625,34.375,1,0.0,1,36.963125
51,13-04-11,54,19.6875,34.3125,1,0.0625,1,31.895937499999995
52,13-04-12,54,19.75,34.25,1,0.0625,1,31.82875
53,13-04-13,54,19.75,34.25,1,0.0,1,36.82875
54,13-04-14,54,19.8125,34.1875,1,0.0625,1,31.761562499999997
55,13-04-15,54,19.8125,34.1875,1,0.0,1,36.7615625
56,13-04-16,54,19.875,34.125,1,0.0625,1,31.694374999999994
57,13-04-17,54,19.8125,34.1875,1,-0.0625,1,41.7615625
58,13-04-18,54,19.8125,34.1875,1,0.0,1,36.7615625
59,13-04-19,54,19.875,34.125,1,0.0625,1,31.694374999999994
60,13-04-20,54,19.8125,34.1875,1,-0.0625,1,41.7615625
61,13-04-21,54,19.8125,34.1875,1,0.0,1,36.7615625
62,13-04-22,54,19.75,34.25,1,-0.0625,1,41.82875
63,13-04-23,54,19.875,34.125,1,0.125,1,26.694374999999994
64,13-04-24,54,19.8125,34.1875,1,-0.0625,1,41.7615625
65,13-04-25,54,19.8125,34.1875,1,0.0,1,36.7615625
66,13-04-26,54,19.75,34.25,1,-0.0625,1,41.82875
67,13-04-27,54,19.8125,34.1875,1,0.0625,1,31.761562499999997
68,13-04-28,54,19.75,34.25,1,-0.0625,1,41.82875
69,13-04-29,54,19.8125,34.1875,1,0.0625,1,31.761562499999997
70,13-04-30,54,19.75,34.25,1,-0.0625,1,41.82875
71,13-04-31,54,19.6875,34.3125,1,-0.0625,1,41.895937499999995
72,13-04-32,54,19.75,34.25,1,0.0625,1,31.82875
73,13-04-33,54,19.75,34.25,1,0.0,1,36.82875
74,13-04-34,54,19.75,34.25,1,0.0,1,36.82875
75,13-04-35,54,19.6875,34.3125,1,-0.0625,1,41.895937499999995
76,13-04-36,54,19.75,34.25,1,0.0625,1,31.82875
77,13-04-37,54,19.75,34.25,1,0.0,1,36.82875
78,13-04-38,54,19.6875,34.3125,1,-0.0625,1,41.895937499999995
79,13-04-39,54,19.75,34.25,1,0.0625,1,31.82875
80,13-04-40,54,19.75,34.25,1,0.0,1,36.82875
81,13-04-41,54,19.8125,34.1875,1,0.0625,1,31.761562499999997
82,13-04-42,54,19.75,34.25,1,-0.0625,1,41.82875
83,13-04-43,54,19.8125,34.1875,1,0.0625,1,31.761562499999997
