stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,13-33-13,58,21.125,36.875,1,0,1,40.6125
1,13-33-14,58,21.125,36.875,1,0.0,1,40.6125
2,13-33-15,58,21.5,36.5,1,0.375,1,26.325000000000003
3,13-33-16,58,21.5,36.5,1,0.0,1,40.2
4,13-33-17,58,21.5,36.5,1,0.0,1,40.2
5,13-33-18,58,21.5,36.5,1,0.0,1,40.2
6,13-33-19,58,21.5,36.5,1,0.0,1,40.2
7,13-33-20,58,21.5,36.5,1,0.0,1,40.2
8,13-33-21,58,21.5,36.5,1,0.0,1,40.2
9,13-33-22,58,21.5,36.5,1,0.0,1,40.2
10,13-33-23,58,21.5,36.5,1,0.0,1,40.2
11,13-33-24,58,21.5,36.5,1,0.0,1,40.2
12,13-33-25,58,21.5,36.5,1,0.0,1,40.2
13,13-33-26,58,21.5,36.5,1,0.0,1,40.2
14,13-33-27,58,21.5,36.5,1,0.0,1,40.2
15,13-33-28,58,21.5,36.5,1,0.0,1,40.2
16,13-33-29,58,21.5,36.5,1,0.0,1,40.2
17,13-33-30,58,21.625,36.375,1,0.125,1,35.4375
18,13-33-31,58,21.625,36.375,1,0.0,1,40.0625
19,13-33-32,58,21.625,36.375,1,0.0,1,40.0625
20,13-33-33,58,21.625,36.375,1,0.0,1,40.0625
21,13-33-34,58,21.625,36.375,1,0.0,1,40.0625
22,13-33-35,58,21.625,36.375,1,0.0,1,40.0625
23,13-33-36,58,21.625,36.375,1,0.0,1,40.0625
24,13-33-37,58,21.625,36.375,1,0.0,1,40.0625
25,13-33-38,58,21.625,36.375,1,0.0,1,40.0625
26,13-33-39,58,21.625,36.375,1,0.0,1,40.0625
27,13-33-40,58,21.625,36.375,1,0.0,1,40.0625
28,13-33-41,58,21.625,36.375,1,0.0,1,40.0625
29,13-33-42,58,21.625,36.375,1,0.0,1,40.0625
30,13-33-43,58,21.625,36.375,1,0.0,1,40.0625
31,13-33-44,58,21.625,36.375,1,0.0,1,40.0625
32,13-33-45,58,21.625,36.375,1,0.0,1,40.0625
33,13-33-46,58,21.625,36.375,1,0.0,1,40.0625
34,13-33-47,58,21.625,36.375,1,0.0,1,40.0625
35,13-33-48,58,21.625,36.375,1,0.0,1,40.0625
36,13-33-49,58,21.625,36.375,1,0.0,1,40.0625
37,13-33-50,58,21.625,36.375,1,0.0,1,40.0625
38,13-33-51,58,21.625,36.375,1,0.0,1,40.0625
39,13-33-52,58,21.625,36.375,1,0.0,1,40.0625
40,13-33-53,58,21.625,36.375,1,0.0,1,40.0625
41,13-33-54,58,21.625,36.375,1,0.0,1,40.0625
42,13-33-55,58,21.625,36.375,1,0.0,1,40.0625
43,13-33-56,58,21.625,36.375,1,0.0,1,40.0625
44,13-33-57,58,21.625,36.375,1,0.0,1,40.0625
45,13-33-58,58,21.625,36.375,1,0.0,1,40.0625
46,13-33-59,58,21.625,36.375,1,0.0,1,40.0625
47,13-34-00,58,21.625,36.375,1,0.0,1,40.0625
48,13-34-01,58,21.625,36.375,1,0.0,1,40.0625
49,13-34-02,58,21.625,36.375,1,0.0,1,40.0625
50,13-34-03,58,21.625,36.375,1,0.0,1,40.0625
51,13-34-04,58,21.625,36.375,1,0.0,1,40.0625
52,13-34-05,58,21.625,36.375,1,0.0,1,40.0625
53,13-34-06,58,21.625,36.375,1,0.0,1,40.0625
54,13-34-07,58,21.625,36.375,1,0.0,1,40.0625
55,13-34-08,58,21.625,36.375,1,0.0,1,40.0625
56,13-34-09,58,21.625,36.375,1,0.0,1,40.0625
57,13-34-10,58,21.625,36.375,1,0.0,1,40.0625
58,13-34-11,58,21.625,36.375,1,0.0,1,40.0625
59,13-34-12,58,21.625,36.375,1,0.0,1,40.0625
60,13-34-13,58,21.625,36.375,1,0.0,1,40.0625
61,13-34-14,58,21.625,36.375,1,0.0,1,40.0625
62,13-34-15,58,21.625,36.375,1,0.0,1,40.0625
63,13-34-16,58,21.625,36.375,1,0.0,1,40.0625
64,13-34-17,58,21.625,36.375,1,0.0,1,40.0625
65,13-34-18,58,21.75,36.25,1,0.125,1,35.3
66,13-34-19,58,21.75,36.25,1,0.0,1,39.925
67,13-34-20,58,21.75,36.25,1,0.0,1,39.925
68,13-34-21,58,21.875,36.125,1,0.125,1,35.1625
69,13-34-22,58,21.875,36.125,1,0.0,1,39.7875
70,13-34-23,58,21.875,36.125,1,0.0,1,39.7875
71,13-34-24,58,21.875,36.125,1,0.0,1,39.7875
72,13-34-25,58,21.875,36.125,1,0.0,1,39.7875
73,13-34-26,58,21.875,36.125,1,0.0,1,39.7875
74,13-34-27,58,21.875,36.125,1,0.0,1,39.7875
75,13-34-28,58,21.875,36.125,1,0.0,1,39.7875
76,13-34-29,58,22.0,36.0,1,0.125,1,35.025
77,13-34-30,58,22.0,36.0,1,0.0,1,39.65
78,13-34-31,58,22.0,36.0,1,0.0,1,39.65
79,13-34-32,58,22.125,35.875,1,0.125,1,34.8875
80,13-34-33,58,22.125,35.875,1,0.0,1,39.5125
81,13-34-34,58,22.125,35.875,1,0.0,1,39.5125
