stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,20-53-29,65,19.6875,45.3125,0,0,1,2.265625
1,20-53-30,65,19.6875,45.3125,0,0,1,2.265625
2,20-53-31,65,19.6875,45.3125,0,0,1,2.265625
3,20-53-32,65,19.6875,45.3125,0,0,1,2.265625
4,20-53-33,65,19.6875,45.3125,0,0,1,2.265625
5,20-53-34,65,19.6875,45.3125,0,0,1,2.265625
6,20-53-35,65,19.625,45.375,0,0,1,2.2687500000000003
7,20-53-36,65,19.6875,45.3125,0,0,1,2.265625
8,20-53-37,65,19.6875,45.3125,0,0,1,2.265625
9,20-53-38,65,19.625,45.375,0,0,1,2.2687500000000003
10,20-53-39,65,19.6875,45.3125,0,0,1,2.265625
11,20-53-40,65,19.6875,45.3125,0,0,1,2.265625
12,20-53-41,65,19.6875,45.3125,0,0,1,2.265625
13,20-53-42,65,19.625,45.375,0,0,1,2.2687500000000003
14,20-53-43,65,19.625,45.375,0,0,1,2.2687500000000003
15,20-53-44,65,19.6875,45.3125,0,0,1,2.265625
16,20-53-45,65,19.6875,45.3125,0,0,1,2.265625
17,20-53-46,65,19.625,45.375,0,0,1,2.2687500000000003
18,20-53-47,65,19.625,45.375,0,0,1,2.2687500000000003
19,20-53-48,65,19.6875,45.3125,0,0,1,2.265625
20,20-53-49,65,19.6875,45.3125,0,0,1,2.265625
21,20-53-50,65,19.6875,45.3125,0,0,1,2.265625
22,20-53-51,65,19.6875,45.3125,0,0,1,2.265625
23,20-53-52,65,19.6875,45.3125,0,0,1,2.265625
24,20-53-53,65,19.75,45.25,0,0,1,2.2625
25,20-53-54,65,19.6875,45.3125,0,0,1,2.265625
26,20-53-55,65,19.75,45.25,0,0,1,2.2625
27,20-53-56,65,19.75,45.25,0,0,1,2.2625
28,20-53-57,65,19.75,45.25,0,0,1,2.2625
29,20-53-58,65,19.6875,45.3125,0,0,1,2.265625
30,20-53-59,65,19.6875,45.3125,0,0,1,2.265625
31,20-54-00,65,19.75,45.25,0,0,1,2.2625
32,20-54-01,65,19.6875,45.3125,0,0,1,2.265625
33,20-54-02,65,19.75,45.25,0,0,1,2.2625
34,20-54-03,65,19.6875,45.3125,0,0,1,2.265625
35,20-54-04,65,19.6875,45.3125,0,0,1,2.265625
36,20-54-05,65,19.75,45.25,0,0,1,2.2625
37,20-54-06,65,19.75,45.25,0,0,1,2.2625
38,20-54-07,65,19.6875,45.3125,0,0,1,2.265625
39,20-54-08,65,19.75,45.25,0,0,1,2.2625
40,20-54-09,65,19.6875,45.3125,0,0,1,2.265625
41,20-54-10,65,19.75,45.25,0,0,1,2.2625
42,20-54-11,65,19.75,45.25,0,0,1,2.2625
43,20-54-12,65,19.75,45.25,0,0,1,2.2625
44,20-54-13,65,19.75,45.25,0,0,1,2.2625
45,20-54-14,65,19.75,45.25,0,0,1,2.2625
46,20-54-15,65,19.8125,45.1875,0,0,1,2.259375
47,20-54-16,65,19.8125,45.1875,0,0,1,2.259375
48,20-54-17,65,19.75,45.25,0,0,1,2.2625
49,20-54-18,65,19.75,45.25,0,0,1,2.2625
50,20-54-19,65,19.875,45.125,0,0,1,2.25625
51,20-54-20,65,19.8125,45.1875,0,0,1,2.259375
52,20-54-21,65,19.8125,45.1875,0,0,1,2.259375
53,20-54-22,65,19.875,45.125,0,0,1,2.25625
54,20-54-23,65,19.8125,45.1875,0,0,1,2.259375
55,20-54-24,65,19.875,45.125,0,0,1,2.25625
56,20-54-25,65,19.875,45.125,0,0,1,2.25625
57,20-54-26,65,19.875,45.125,0,0,1,2.25625
58,20-54-27,65,19.875,45.125,0,0,1,2.25625
59,20-54-28,65,19.9375,45.0625,0,0,1,2.2531250000000003
60,20-54-29,65,19.9375,45.0625,0,0,1,2.2531250000000003
61,20-54-30,65,19.9375,45.0625,0,0,1,2.2531250000000003
62,20-54-31,65,19.9375,45.0625,0,0,1,2.2531250000000003
63,20-54-32,65,20.0,45.0,0,0,1,2.25
64,20-54-33,65,20.0,45.0,0,0,1,2.25
65,20-54-34,65,20.0,45.0,0,0,1,2.25
66,20-54-35,65,20.0,45.0,0,0,1,2.25
67,20-54-36,65,20.0625,44.9375,0,0,1,2.246875
68,20-54-37,65,20.0,45.0,0,0,1,2.25
69,20-54-38,65,20.0625,44.9375,0,0,1,2.246875
70,20-54-39,65,20.0625,44.9375,0,0,1,2.246875
71,20-54-40,65,20.0625,44.9375,0,0,1,2.246875
72,20-54-41,65,20.125,44.875,0,0,1,2.24375
73,20-54-42,65,20.125,44.875,0,0,1,2.24375
74,20-54-43,65,20.125,44.875,0,0,1,2.24375
75,20-54-44,65,20.1875,44.8125,0,0,1,2.240625
