stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome
0,09-52-09,60,44.562,15.438000000000002,0.5,0,0.5
1,09-52-11,60,44.625,15.375,0.5,0.06300000000000239,0.5
2,09-52-14,60,44.75,15.25,0.5,0.125,0.5
3,09-52-16,60,44.75,15.25,0.5,0.0,0.5
4,09-52-18,60,44.875,15.125,0.5,0.125,0.5
5,09-52-20,60,44.875,15.125,0.5,0.0,0.5
6,09-52-23,60,45.0,15.0,0.5,0.125,0.5
7,09-52-25,60,45.062,14.938000000000002,0.5,0.06199999999999761,0.5
8,09-52-27,60,45.25,14.75,0.5,0.1880000000000024,0.5
9,09-52-29,60,45.375,14.625,0.5,0.125,0.5
10,09-52-32,60,45.5,14.5,0.5,0.125,0.5
11,09-52-34,60,45.687,14.313000000000002,0.5,0.1869999999999976,0.5
12,09-52-36,60,45.812,14.188000000000002,0.5,0.125,0.5
