stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome
0,09-48-33,60,39.812,20.188000000000002,1,0,1
1,09-48-36,60,39.812,20.188000000000002,1,0.0,1
2,09-48-38,60,39.812,20.188000000000002,1,0.0,1
3,09-48-41,60,39.812,20.188000000000002,1,0.0,1
4,09-48-44,60,39.812,20.188000000000002,1,0.0,1
5,09-48-47,60,39.812,20.188000000000002,1,0.0,1
6,09-48-49,60,39.75,20.25,1,-0.06199999999999761,1
7,09-48-52,60,39.75,20.25,1,0.0,1
8,09-48-55,60,39.75,20.25,1,0.0,1
9,09-48-58,60,39.75,20.25,1,0.0,1
10,09-49-00,60,39.75,20.25,1,0.0,1
11,09-49-03,60,39.75,20.25,1,0.0,1
12,09-49-06,60,39.75,20.25,1,0.0,1
13,09-49-08,60,39.75,20.25,1,0.0,1
14,09-49-11,60,39.75,20.25,1,0.0,1
15,09-49-14,60,39.75,20.25,1,0.0,1
16,09-49-17,60,39.75,20.25,1,0.0,1
17,09-49-19,60,39.687,20.313000000000002,1,-0.06300000000000239,1
18,09-49-22,60,39.625,20.375,1,-0.06199999999999761,1
19,09-49-25,60,39.687,20.313000000000002,1,0.06199999999999761,1
20,09-49-28,60,39.687,20.313000000000002,1,0.0,1
21,09-49-30,60,39.75,20.25,1,0.06300000000000239,1
22,09-49-33,60,39.812,20.188000000000002,1,0.06199999999999761,1
23,09-49-36,60,39.875,20.125,1,0.06300000000000239,1
24,09-49-38,60,39.937,20.063000000000002,1,0.06199999999999761,1
25,09-49-41,60,40.0,20.0,1,0.06300000000000239,1
26,09-49-44,60,40.0,20.0,1,0.0,1
27,09-49-47,60,40.0,20.0,1,0.0,1
28,09-49-49,60,40.062,19.938000000000002,1,0.06199999999999761,1
29,09-49-52,60,40.062,19.938000000000002,1,0.0,1
30,09-49-55,60,40.125,19.875,1,0.06300000000000239,1
31,09-49-57,60,40.187,19.813000000000002,1,0.06199999999999761,1
32,09-50-00,60,40.25,19.75,1,0.06300000000000239,1
33,09-50-03,60,40.312,19.688000000000002,1,0.06199999999999761,1
34,09-50-06,60,40.375,19.625,1,0.06300000000000239,1
35,09-50-08,60,40.437,19.563000000000002,1,0.06199999999999761,1
36,09-50-11,60,40.5,19.5,1,0.06300000000000239,1
37,09-50-14,60,40.562,19.438000000000002,1,0.06199999999999761,1
38,09-50-16,60,40.625,19.375,1,0.06300000000000239,1
39,09-50-19,60,40.75,19.25,1,0.125,1
