stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,14-49-33,74,24.5,49.5,1,0,1,54.46
1,14-49-34,74,24.625,49.375,1,0.125,1,41.822500000000005
2,14-49-35,74,24.75,49.25,1,0.125,1,41.685
3,14-49-36,74,24.75,49.25,1,0.0,1,54.185
4,14-49-37,74,24.875,49.125,1,0.125,1,41.5475
5,14-49-38,74,25.0,49.0,1,0.125,1,41.410000000000004
6,14-49-39,74,25.0,49.0,1,0.0,1,53.910000000000004
7,14-49-40,74,25.125,48.875,1,0.125,1,41.2725
8,14-49-41,74,25.125,48.875,1,0.0,1,53.7725
9,14-49-42,74,25.25,48.75,1,0.125,1,41.135000000000005
10,14-49-43,74,25.375,48.625,1,0.125,1,40.9975
11,14-49-44,74,25.5,48.5,1,0.125,1,40.86
12,14-49-45,74,25.5,48.5,1,0.0,1,53.36
13,14-49-46,74,25.5,48.5,1,0.0,1,53.36
14,14-49-47,74,25.5,48.5,1,0.0,1,53.36
15,14-49-48,74,25.5,48.5,1,0.0,1,53.36
16,14-49-49,74,25.5,48.5,1,0.0,1,53.36
17,14-49-50,74,25.5,48.5,1,0.0,1,53.36
18,14-49-51,74,25.5,48.5,1,0.0,1,53.36
19,14-49-52,74,25.5,48.5,1,0.0,1,53.36
20,14-49-53,74,25.5,48.5,1,0.0,1,53.36
21,14-49-54,74,25.625,48.375,1,0.125,1,40.722500000000004
22,14-49-55,74,25.625,48.375,1,0.0,1,53.222500000000004
23,14-49-56,74,25.625,48.375,1,0.0,1,53.222500000000004
24,14-49-57,74,25.75,48.25,1,0.125,1,40.585
25,14-49-58,74,25.75,48.25,1,0.0,1,53.085
26,14-49-59,74,25.75,48.25,1,0.0,1,53.085
27,14-50-00,74,25.875,48.125,1,0.125,1,40.447500000000005
28,14-50-01,74,25.875,48.125,1,0.0,1,52.947500000000005
29,14-50-02,74,25.875,48.125,1,0.0,1,52.947500000000005
30,14-50-03,74,26.0,48.0,1,0.125,1,40.31
31,14-50-04,74,26.0,48.0,1,0.0,1,52.81
32,14-50-05,74,26.0,48.0,1,0.0,1,52.81
33,14-50-06,74,26.125,47.875,1,0.125,1,40.1725
34,14-50-07,74,26.125,47.875,1,0.0,1,52.6725
35,14-50-08,74,26.125,47.875,1,0.0,1,52.6725
36,14-50-09,74,26.125,47.875,1,0.0,1,52.6725
37,14-50-10,74,26.25,47.75,1,0.125,1,40.035000000000004
38,14-50-11,74,26.25,47.75,1,0.0,1,52.535000000000004
39,14-50-12,74,26.25,47.75,1,0.0,1,52.535000000000004
40,14-50-13,74,26.375,47.625,1,0.125,1,39.8975
41,14-50-14,74,26.375,47.625,1,0.0,1,52.3975
42,14-50-15,74,26.375,47.625,1,0.0,1,52.3975
43,14-50-16,74,26.375,47.625,1,0.0,1,52.3975
44,14-50-17,74,26.5,47.5,1,0.125,1,39.760000000000005
45,14-50-18,74,26.5,47.5,1,0.0,1,52.260000000000005
46,14-50-19,74,26.375,47.625,1,-0.125,1,64.89750000000001
47,14-50-20,74,26.25,47.75,1,-0.125,1,65.035
48,14-50-21,74,26.0,48.0,1,-0.25,1,77.81
49,14-50-22,74,25.75,48.25,1,-0.25,1,78.08500000000001
50,14-50-23,74,25.625,48.375,1,-0.125,1,65.7225
51,14-50-24,74,25.625,48.375,1,0.0,1,53.222500000000004
52,14-50-25,74,25.75,48.25,1,0.125,1,40.585
53,14-50-26,74,25.875,48.125,1,0.125,1,40.447500000000005
54,14-50-27,74,25.875,48.125,1,0.0,1,52.947500000000005
55,14-50-28,74,26.0,48.0,1,0.125,1,40.31
56,14-50-29,74,26.0,48.0,1,0.0,1,52.81
57,14-50-30,74,26.125,47.875,1,0.125,1,40.1725
58,14-50-31,74,26.125,47.875,1,0.0,1,52.6725
59,14-50-32,74,26.25,47.75,1,0.125,1,40.035000000000004
60,14-50-33,74,26.375,47.625,1,0.125,1,39.8975
61,14-50-34,74,26.5,47.5,1,0.125,1,39.760000000000005
62,14-50-35,74,26.5,47.5,1,0.0,1,52.260000000000005
63,14-50-36,74,26.625,47.375,1,0.125,1,39.6225
64,14-50-37,74,26.625,47.375,1,0.0,1,52.1225
65,14-50-38,74,26.75,47.25,1,0.125,1,39.485
66,14-50-39,74,26.75,47.25,1,0.0,1,51.985
67,14-50-40,74,26.75,47.25,1,0.0,1,51.985
68,14-50-41,74,26.75,47.25,1,0.0,1,51.985
69,14-50-42,74,26.875,47.125,1,0.125,1,39.347500000000004
70,14-50-43,74,26.875,47.125,1,0.0,1,51.847500000000004
71,14-50-44,74,27.0,47.0,1,0.125,1,39.21
72,14-50-45,74,27.125,46.875,1,0.125,1,39.072500000000005
73,14-50-46,74,27.25,46.75,1,0.125,1,38.935
74,14-50-47,74,27.375,46.625,1,0.125,1,38.7975
75,14-50-48,74,27.375,46.625,1,0.0,1,51.2975
76,14-50-49,74,27.5,46.5,1,0.125,1,38.660000000000004
77,14-50-50,74,27.5,46.5,1,0.0,1,51.160000000000004
78,14-50-51,74,27.5,46.5,1,0.0,1,51.160000000000004
79,14-50-52,74,27.5,46.5,1,0.0,1,51.160000000000004
80,14-50-53,74,27.625,46.375,1,0.125,1,38.5225
81,14-50-54,74,27.75,46.25,1,0.125,1,38.385000000000005
82,14-50-55,74,27.75,46.25,1,0.0,1,50.885000000000005
83,14-50-56,74,27.75,46.25,1,0.0,1,50.885000000000005
84,14-50-57,74,27.75,46.25,1,0.0,1,50.885000000000005
85,14-50-58,74,27.75,46.25,1,0.0,1,50.885000000000005
86,14-50-59,74,27.75,46.25,1,0.0,1,50.885000000000005
87,14-51-00,74,27.75,46.25,1,0.0,1,50.885000000000005
88,14-51-01,74,27.75,46.25,1,0.0,1,50.885000000000005
89,14-51-02,74,27.75,46.25,1,0.0,1,50.885000000000005
90,14-51-03,74,27.875,46.125,1,0.125,1,38.2475
91,14-51-04,74,27.75,46.25,1,-0.125,1,63.385000000000005
92,14-51-05,74,27.875,46.125,1,0.125,1,38.2475
93,14-51-06,74,28.0,46.0,1,0.125,1,38.11
94,14-51-07,74,28.125,45.875,1,0.125,1,37.972500000000004
95,14-51-08,74,28.25,45.75,1,0.125,1,37.835
96,14-51-09,74,28.375,45.625,1,0.125,1,37.697500000000005
97,14-51-10,74,28.375,45.625,1,0.0,1,50.197500000000005
98,14-51-11,74,28.375,45.625,1,0.0,1,50.197500000000005
99,14-51-12,74,28.5,45.5,1,0.125,1,37.56
100,14-51-13,74,28.5,45.5,1,0.0,1,50.06
101,14-51-14,74,28.5,45.5,1,0.0,1,50.06
102,14-51-15,74,28.5,45.5,1,0.0,1,50.06
103,14-51-16,74,28.5,45.5,1,0.0,1,50.06
104,14-51-17,74,28.5,45.5,1,0.0,1,50.06
105,14-51-18,74,28.5,45.5,1,0.0,1,50.06
106,14-51-19,74,28.5,45.5,1,0.0,1,50.06
107,14-51-20,74,28.625,45.375,1,0.125,1,37.4225
108,14-51-21,74,28.625,45.375,1,0.0,1,49.9225
109,14-51-22,74,28.75,45.25,1,0.125,1,37.285000000000004
110,14-51-23,74,28.75,45.25,1,0.0,1,49.785000000000004
111,14-51-24,74,28.75,45.25,1,0.0,1,49.785000000000004
112,14-51-25,74,28.875,45.125,1,0.125,1,37.1475
113,14-51-26,74,28.875,45.125,1,0.0,1,49.6475
114,14-51-27,74,29.0,45.0,1,0.125,1,37.010000000000005
115,14-51-28,74,29.0,45.0,1,0.0,1,49.510000000000005
116,14-51-29,74,29.0,45.0,1,0.0,1,49.510000000000005
117,14-51-30,74,29.125,44.875,1,0.125,1,36.8725
