stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,15-59-59,74,77.9375,-3.9375,0,0,0,-4.331250000000001
1,16-00-00,74,77.9375,-3.9375,0,0.0,0,-4.331250000000001
2,16-00-01,74,78.0,-4.0,0,0.0625,0,-10.65
3,16-00-02,74,77.9375,-3.9375,0,-0.0625,1,1.9187499999999993
4,16-00-03,74,77.9375,-3.9375,0,0.0,0,-4.331250000000001
5,16-00-04,74,77.9375,-3.9375,0,0.0,0,-4.331250000000001
6,16-00-05,74,77.9375,-3.9375,0,0.0,0,-4.331250000000001
7,16-00-06,74,77.9375,-3.9375,0,0.0,0,-4.331250000000001
8,16-00-07,74,77.9375,-3.9375,0,0.0,0,-4.331250000000001
9,16-00-08,74,77.875,-3.875,0,-0.0625,1,1.9874999999999998
10,16-00-09,74,77.875,-3.875,0,0.0,0,-4.2625
11,16-00-10,74,77.8125,-3.8125,0,-0.0625,1,2.0562499999999995
12,16-00-11,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
13,16-00-12,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
14,16-00-13,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
15,16-00-14,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
16,16-00-15,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
17,16-00-16,74,77.75,-3.75,0,-0.0625,1,2.125
18,16-00-17,74,77.75,-3.75,0,0.0,0,-4.125
19,16-00-18,74,77.6875,-3.6875,0,-0.0625,1,2.1937499999999996
20,16-00-19,74,77.75,-3.75,0,0.0625,0,-10.375
21,16-00-20,74,77.6875,-3.6875,0,-0.0625,1,2.1937499999999996
22,16-00-21,74,77.75,-3.75,0,0.0625,0,-10.375
23,16-00-22,74,77.75,-3.75,0,0.0,0,-4.125
24,16-00-23,74,77.8125,-3.8125,0,0.0625,0,-10.443750000000001
25,16-00-24,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
26,16-00-25,74,77.8125,-3.8125,0,0.0,0,-4.1937500000000005
27,16-00-26,74,77.75,-3.75,0,-0.0625,1,2.125
28,16-00-27,74,77.75,-3.75,0,0.0,0,-4.125
29,16-00-28,74,77.75,-3.75,0,0.0,0,-4.125
30,16-00-29,74,77.6875,-3.6875,0,-0.0625,1,2.1937499999999996
31,16-00-30,74,77.6875,-3.6875,0,0.0,0,-4.05625
32,16-00-31,74,77.6875,-3.6875,0,0.0,0,-4.05625
33,16-00-32,74,77.625,-3.625,0,-0.0625,1,2.2624999999999997
34,16-00-33,74,77.625,-3.625,0,0.0,0,-3.9875000000000003
35,16-00-34,74,77.625,-3.625,0,0.0,0,-3.9875000000000003
