stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,17-37-57,74,63.625,10.375,1,0,1,11.422500000000001
1,17-37-58,74,63.625,10.375,1,0.0,1,11.422500000000001
2,17-37-59,74,63.6875,10.3125,1,0.0625,1,5.103750000000002
3,17-38-00,74,63.6875,10.3125,1,0.0,1,11.353750000000002
4,17-38-01,74,63.6875,10.3125,1,0.0,1,11.353750000000002
5,17-38-02,74,63.6875,10.3125,1,0.0,1,11.353750000000002
6,17-38-03,74,63.625,10.375,1,-0.0625,1,17.6725
7,17-38-04,74,63.625,10.375,1,0.0,1,11.422500000000001
8,17-38-05,74,63.625,10.375,1,0.0,1,11.422500000000001
9,17-38-06,74,63.625,10.375,1,0.0,1,11.422500000000001
10,17-38-07,74,63.625,10.375,1,0.0,1,11.422500000000001
11,17-38-08,74,63.5625,10.4375,1,-0.0625,1,17.74125
12,17-38-09,74,63.5625,10.4375,1,0.0,1,11.49125
13,17-38-10,74,63.5625,10.4375,1,0.0,1,11.49125
14,17-38-11,74,63.5625,10.4375,1,0.0,1,11.49125
15,17-38-12,74,63.5625,10.4375,1,0.0,1,11.49125
16,17-38-13,74,63.5625,10.4375,1,0.0,1,11.49125
17,17-38-14,74,63.5625,10.4375,1,0.0,1,11.49125
18,17-38-15,74,63.5625,10.4375,1,0.0,1,11.49125
19,17-38-16,74,63.5625,10.4375,1,0.0,1,11.49125
20,17-38-17,74,63.5625,10.4375,1,0.0,1,11.49125
21,17-38-18,74,63.5625,10.4375,1,0.0,1,11.49125
22,17-38-19,74,63.5625,10.4375,1,0.0,1,11.49125
23,17-38-20,74,63.5625,10.4375,1,0.0,1,11.49125
24,17-38-21,74,63.5625,10.4375,1,0.0,1,11.49125
25,17-38-22,74,63.625,10.375,1,0.0625,1,5.172500000000001
26,17-38-23,74,63.625,10.375,1,0.0,1,11.422500000000001
27,17-38-24,74,63.5625,10.4375,1,-0.0625,1,17.74125
28,17-38-25,74,63.5625,10.4375,1,0.0,1,11.49125
29,17-38-26,74,63.5625,10.4375,1,0.0,1,11.49125
30,17-38-27,74,63.5625,10.4375,1,0.0,1,11.49125
31,17-38-28,74,63.5625,10.4375,1,0.0,1,11.49125
32,17-38-29,74,63.5625,10.4375,1,0.0,1,11.49125
33,17-38-30,74,63.5625,10.4375,1,0.0,1,11.49125
34,17-38-31,74,63.5625,10.4375,1,0.0,1,11.49125
35,17-38-32,74,63.625,10.375,1,0.0625,1,5.172500000000001
36,17-38-33,74,63.5625,10.4375,1,-0.0625,1,17.74125
37,17-38-34,74,63.625,10.375,1,0.0625,1,5.172500000000001
38,17-38-35,74,63.625,10.375,1,0.0,1,11.422500000000001
39,17-38-36,74,63.625,10.375,1,0.0,1,11.422500000000001
40,17-38-37,74,63.625,10.375,1,0.0,1,11.422500000000001
41,17-38-38,74,63.625,10.375,1,0.0,1,11.422500000000001
42,17-38-39,74,63.625,10.375,1,0.0,1,11.422500000000001
43,17-38-40,74,63.5625,10.4375,1,-0.0625,1,17.74125
44,17-38-41,74,63.5625,10.4375,1,0.0,1,11.49125
45,17-38-42,74,63.5625,10.4375,1,0.0,1,11.49125
46,17-38-43,74,63.5625,10.4375,1,0.0,1,11.49125
47,17-38-44,74,63.5,10.5,1,-0.0625,1,17.810000000000002
48,17-38-45,74,63.5625,10.4375,1,0.0625,1,5.241250000000001
49,17-38-46,74,63.5625,10.4375,1,0.0,1,11.49125
50,17-38-47,74,63.5625,10.4375,1,0.0,1,11.49125
51,17-38-48,74,63.5625,10.4375,1,0.0,1,11.49125
52,17-38-49,74,63.5625,10.4375,1,0.0,1,11.49125
53,17-38-50,74,63.5625,10.4375,1,0.0,1,11.49125
54,17-38-51,74,63.5625,10.4375,1,0.0,1,11.49125
55,17-38-52,74,63.625,10.375,1,0.0625,1,5.172500000000001
56,17-38-53,74,63.625,10.375,1,0.0,1,11.422500000000001
57,17-38-54,74,63.625,10.375,1,0.0,1,11.422500000000001
58,17-38-55,74,63.625,10.375,1,0.0,1,11.422500000000001
59,17-38-56,74,63.75,10.25,1,0.125,0,-1.2149999999999999
60,17-38-57,74,63.8125,10.1875,1,0.0625,1,4.9662500000000005
61,17-38-58,74,63.9375,10.0625,1,0.125,0,-1.4212499999999988
62,17-38-59,74,64.0625,9.9375,1,0.125,0,-1.5587499999999999
63,17-39-00,74,64.125,9.875,1,0.0625,1,4.6225000000000005
64,17-39-01,74,64.125,9.875,1,0.0,1,10.8725
65,17-39-02,74,64.125,9.875,1,0.0,1,10.8725
66,17-39-03,74,64.125,9.875,1,0.0,1,10.8725
67,17-39-04,74,64.125,9.875,1,0.0,1,10.8725
68,17-39-05,74,64.0625,9.9375,1,-0.0625,1,17.19125
69,17-39-06,74,64.0625,9.9375,1,0.0,1,10.94125
70,17-39-07,74,64.0,10.0,1,-0.0625,1,17.259999999999998
71,17-39-08,74,63.9375,10.0625,1,-0.0625,1,17.32875
72,17-39-09,74,63.9375,10.0625,1,0.0,1,11.078750000000001
73,17-39-10,74,63.8125,10.1875,1,-0.125,1,23.716250000000002
74,17-39-11,74,63.8125,10.1875,1,0.0,1,11.21625
75,17-39-12,74,63.75,10.25,1,-0.0625,1,17.535
76,17-39-13,74,63.75,10.25,1,0.0,1,11.285
77,17-39-14,74,63.75,10.25,1,0.0,1,11.285
78,17-39-15,74,63.75,10.25,1,0.0,1,11.285
79,17-39-16,74,63.6875,10.3125,1,-0.0625,1,17.60375
80,17-39-17,74,63.6875,10.3125,1,0.0,1,11.353750000000002
81,17-39-18,74,63.6875,10.3125,1,0.0,1,11.353750000000002
82,17-39-19,74,63.75,10.25,1,0.0625,1,5.035
83,17-39-20,74,63.75,10.25,1,0.0,1,11.285
84,17-39-21,74,63.6875,10.3125,1,-0.0625,1,17.60375
85,17-39-22,74,63.75,10.25,1,0.0625,1,5.035
86,17-39-23,74,63.75,10.25,1,0.0,1,11.285
87,17-39-24,74,63.75,10.25,1,0.0,1,11.285
88,17-39-25,74,63.6875,10.3125,1,-0.0625,1,17.60375
89,17-39-26,74,63.6875,10.3125,1,0.0,1,11.353750000000002
90,17-39-27,74,63.6875,10.3125,1,0.0,1,11.353750000000002
91,17-39-28,74,63.6875,10.3125,1,0.0,1,11.353750000000002
92,17-39-29,74,63.6875,10.3125,1,0.0,1,11.353750000000002
93,17-39-30,74,63.75,10.25,1,0.0625,1,5.035
94,17-39-31,74,63.75,10.25,1,0.0,1,11.285
95,17-39-32,74,63.75,10.25,1,0.0,1,11.285
96,17-39-33,74,63.8125,10.1875,1,0.0625,1,4.9662500000000005
97,17-39-34,74,63.8125,10.1875,1,0.0,1,11.21625
98,17-39-35,74,63.8125,10.1875,1,0.0,1,11.21625
99,17-39-36,74,63.875,10.125,1,0.0625,1,4.897500000000001
100,17-39-37,74,63.875,10.125,1,0.0,1,11.1475
101,17-39-38,74,63.9375,10.0625,1,0.0625,1,4.828750000000001
102,17-39-39,74,63.9375,10.0625,1,0.0,1,11.078750000000001
103,17-39-40,74,64.0,10.0,1,0.0625,1,4.76
104,17-39-41,74,64.0625,9.9375,1,0.0625,1,4.69125
105,17-39-42,74,64.0625,9.9375,1,0.0,1,10.94125
106,17-39-43,74,64.1875,9.8125,1,0.125,0,-1.6962499999999991
107,17-39-44,74,64.3125,9.6875,1,0.125,0,-1.8337500000000002
108,17-39-45,74,64.375,9.625,1,0.0625,1,4.3475
109,17-39-46,74,64.4375,9.5625,1,0.0625,1,4.2787500000000005
110,17-39-47,74,64.4375,9.5625,1,0.0,1,10.52875
111,17-39-48,74,64.4375,9.5625,1,0.0,1,10.52875
112,17-39-49,74,64.5,9.5,1,0.0625,1,4.210000000000001
113,17-39-50,74,64.5,9.5,1,0.0,1,10.46
114,17-39-51,74,64.5625,9.4375,1,0.0625,1,4.141250000000001
115,17-39-52,74,64.625,9.375,1,0.0625,1,4.0725
116,17-39-53,74,64.625,9.375,1,0.0,1,10.3225
117,17-39-54,74,64.625,9.375,1,0.0,1,10.3225
118,17-39-55,74,64.625,9.375,1,0.0,1,10.3225
119,17-39-56,74,64.625,9.375,1,0.0,1,10.3225
120,17-39-57,74,64.6875,9.3125,1,0.0625,1,4.00375
121,17-39-58,74,64.6875,9.3125,1,0.0,1,10.25375
122,17-39-59,74,64.6875,9.3125,1,0.0,1,10.25375
123,17-40-00,74,64.75,9.25,1,0.0625,1,3.9350000000000005
124,17-40-01,74,64.75,9.25,1,0.0,1,10.185
125,17-40-02,74,64.75,9.25,1,0.0,1,10.185
126,17-40-03,74,64.6875,9.3125,1,-0.0625,1,16.50375
127,17-40-04,74,64.6875,9.3125,1,0.0,1,10.25375
128,17-40-05,74,64.75,9.25,1,0.0625,1,3.9350000000000005
129,17-40-06,74,64.75,9.25,1,0.0,1,10.185
130,17-40-07,74,64.8125,9.1875,1,0.0625,1,3.866250000000001
131,17-40-08,74,64.8125,9.1875,1,0.0,1,10.11625
132,17-40-09,74,64.875,9.125,1,0.0625,1,3.797500000000001
133,17-40-10,74,64.875,9.125,1,0.0,1,10.047500000000001
134,17-40-11,74,64.875,9.125,1,0.0,1,10.047500000000001
135,17-40-12,74,64.9375,9.0625,1,0.0625,1,3.72875
136,17-40-13,74,65.0,9.0,1,0.0625,1,3.66
