stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,09-42-53,56,18.625,37.375,1,0,1,41.1225
1,09-42-54,56,18.625,37.375,1,0.0,1,41.1225
2,09-42-55,56,18.75,37.25,1,0.125,1,28.485
3,09-42-56,56,18.75,37.25,1,0.0,1,40.985
4,09-42-57,56,18.75,37.25,1,0.0,1,40.985
5,09-42-58,56,18.75,37.25,1,0.0,1,40.985
6,09-42-59,56,18.625,37.375,1,-0.125,1,53.6225
7,09-43-00,56,18.75,37.25,1,0.125,1,28.485
8,09-43-01,56,18.75,37.25,1,0.0,1,40.985
9,09-43-02,56,18.625,37.375,1,-0.125,1,53.6225
10,09-43-03,56,18.75,37.25,1,0.125,1,28.485
11,09-43-04,56,18.75,37.25,1,0.0,1,40.985
12,09-43-05,56,18.75,37.25,1,0.0,1,40.985
13,09-43-06,56,18.75,37.25,1,0.0,1,40.985
14,09-43-07,56,18.75,37.25,1,0.0,1,40.985
15,09-43-08,56,18.75,37.25,1,0.0,1,40.985
16,09-43-09,56,18.75,37.25,1,0.0,1,40.985
17,09-43-10,56,18.75,37.25,1,0.0,1,40.985
18,09-43-11,56,18.75,37.25,1,0.0,1,40.985
19,09-43-12,56,18.75,37.25,1,0.0,1,40.985
20,09-43-13,56,18.75,37.25,1,0.0,1,40.985
21,09-43-14,56,18.625,37.375,1,-0.125,1,53.6225
22,09-43-15,56,18.75,37.25,1,0.125,1,28.485
23,09-43-16,56,18.75,37.25,1,0.0,1,40.985
24,09-43-17,56,18.75,37.25,1,0.0,1,40.985
25,09-43-18,56,18.75,37.25,1,0.0,1,40.985
26,09-43-19,56,18.75,37.25,1,0.0,1,40.985
27,09-43-20,56,18.75,37.25,1,0.0,1,40.985
28,09-43-21,56,18.75,37.25,1,0.0,1,40.985
29,09-43-22,56,18.75,37.25,1,0.0,1,40.985
30,09-43-23,56,18.75,37.25,1,0.0,1,40.985
31,09-43-24,56,18.75,37.25,1,0.0,1,40.985
32,09-43-25,56,18.75,37.25,1,0.0,1,40.985
33,09-43-26,56,18.75,37.25,1,0.0,1,40.985
34,09-43-27,56,18.75,37.25,1,0.0,1,40.985
35,09-43-28,56,18.75,37.25,1,0.0,1,40.985
36,09-43-29,56,18.75,37.25,1,0.0,1,40.985
37,09-43-30,56,18.75,37.25,1,0.0,1,40.985
38,09-43-31,56,18.75,37.25,1,0.0,1,40.985
39,09-43-32,56,18.75,37.25,1,0.0,1,40.985
40,09-43-33,56,18.75,37.25,1,0.0,1,40.985
41,09-43-34,56,18.75,37.25,1,0.0,1,40.985
42,09-43-35,56,18.625,37.375,1,-0.125,1,53.6225
43,09-43-36,56,18.75,37.25,1,0.125,1,28.485
44,09-43-37,56,18.75,37.25,1,0.0,1,40.985
45,09-43-38,56,18.75,37.25,1,0.0,1,40.985
46,09-43-39,56,18.75,37.25,1,0.0,1,40.985
47,09-43-40,56,18.75,37.25,1,0.0,1,40.985
48,09-43-41,56,18.75,37.25,1,0.0,1,40.985
49,09-43-42,56,18.75,37.25,1,0.0,1,40.985
50,09-43-43,56,18.75,37.25,1,0.0,1,40.985
51,09-43-44,56,18.75,37.25,1,0.0,1,40.985
52,09-43-45,56,18.75,37.25,1,0.0,1,40.985
53,09-43-46,56,18.75,37.25,1,0.0,1,40.985
54,09-43-47,56,18.75,37.25,1,0.0,1,40.985
55,09-43-48,56,18.75,37.25,1,0.0,1,40.985
56,09-43-49,56,18.75,37.25,1,0.0,1,40.985
57,09-43-50,56,18.75,37.25,1,0.0,1,40.985
58,09-43-51,56,18.75,37.25,1,0.0,1,40.985
59,09-43-52,56,18.75,37.25,1,0.0,1,40.985
60,09-43-53,56,18.75,37.25,1,0.0,1,40.985
61,09-43-54,56,18.75,37.25,1,0.0,1,40.985
62,09-43-55,56,18.75,37.25,1,0.0,1,40.985
63,09-43-56,56,18.75,37.25,1,0.0,1,40.985
64,09-43-57,56,18.75,37.25,1,0.0,1,40.985
65,09-43-58,56,18.75,37.25,1,0.0,1,40.985
66,09-43-59,56,18.75,37.25,1,0.0,1,40.985
67,09-44-00,56,18.75,37.25,1,0.0,1,40.985
68,09-44-01,56,18.75,37.25,1,0.0,1,40.985
69,09-44-02,56,18.75,37.25,1,0.0,1,40.985
70,09-44-03,56,18.75,37.25,1,0.0,1,40.985
71,09-44-04,56,18.75,37.25,1,0.0,1,40.985
72,09-44-05,56,18.75,37.25,1,0.0,1,40.985
73,09-44-06,56,18.875,37.125,1,0.125,1,28.347500000000004
74,09-44-07,56,18.875,37.125,1,0.0,1,40.847500000000004
75,09-44-08,56,18.875,37.125,1,0.0,1,40.847500000000004
76,09-44-09,56,19.0,37.0,1,0.125,1,28.21
77,09-44-10,56,19.0,37.0,1,0.0,1,40.71
78,09-44-11,56,19.0,37.0,1,0.0,1,40.71
79,09-44-12,56,19.0,37.0,1,0.0,1,40.71
80,09-44-13,56,19.0,37.0,1,0.0,1,40.71
81,09-44-14,56,19.0,37.0,1,0.0,1,40.71
82,09-44-15,56,19.0,37.0,1,0.0,1,40.71
83,09-44-16,56,19.125,36.875,1,0.125,1,28.072499999999998
84,09-44-17,56,19.125,36.875,1,0.0,1,40.5725
85,09-44-18,56,19.125,36.875,1,0.0,1,40.5725
86,09-44-19,56,19.125,36.875,1,0.0,1,40.5725
87,09-44-20,56,19.125,36.875,1,0.0,1,40.5725
88,09-44-21,56,19.125,36.875,1,0.0,1,40.5725
89,09-44-22,56,19.125,36.875,1,0.0,1,40.5725
90,09-44-23,56,19.125,36.875,1,0.0,1,40.5725
91,09-44-24,56,19.25,36.75,1,0.125,1,27.935000000000002
92,09-44-25,56,19.25,36.75,1,0.0,1,40.435
93,09-44-26,56,19.25,36.75,1,0.0,1,40.435
94,09-44-27,56,19.25,36.75,1,0.0,1,40.435
95,09-44-28,56,19.25,36.75,1,0.0,1,40.435
96,09-44-29,56,19.375,36.625,1,0.125,1,27.7975
97,09-44-30,56,19.375,36.625,1,0.0,1,40.2975
98,09-44-31,56,19.375,36.625,1,0.0,1,40.2975
99,09-44-32,56,19.375,36.625,1,0.0,1,40.2975
100,09-44-33,56,19.375,36.625,1,0.0,1,40.2975
101,09-44-34,56,19.375,36.625,1,0.0,1,40.2975
102,09-44-35,56,19.5,36.5,1,0.125,1,27.660000000000004
103,09-44-36,56,19.5,36.5,1,0.0,1,40.160000000000004
104,09-44-37,56,19.5,36.5,1,0.0,1,40.160000000000004
105,09-44-38,56,19.5,36.5,1,0.0,1,40.160000000000004
106,09-44-39,56,19.5,36.5,1,0.0,1,40.160000000000004
107,09-44-40,56,19.625,36.375,1,0.125,1,27.5225
