stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,10-59-13,56,59.125,-3.125,0,0,0,-3.4375000000000004
1,10-59-14,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
2,10-59-15,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
3,10-59-16,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
4,10-59-17,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
5,10-59-18,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
6,10-59-19,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
7,10-59-20,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
8,10-59-21,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
9,10-59-22,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
10,10-59-23,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
11,10-59-24,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
12,10-59-25,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
13,10-59-26,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
14,10-59-27,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
15,10-59-28,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
16,10-59-29,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
17,10-59-30,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
18,10-59-31,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
19,10-59-32,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
20,10-59-33,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
21,10-59-34,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
22,10-59-35,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
23,10-59-36,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
24,10-59-37,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
25,10-59-38,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
26,10-59-39,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
27,10-59-40,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
28,10-59-41,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
29,10-59-42,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
30,10-59-43,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
31,10-59-44,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
32,10-59-45,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
33,10-59-46,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
34,10-59-47,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
35,10-59-48,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
36,10-59-49,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
37,10-59-50,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
38,10-59-51,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
39,10-59-52,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
40,10-59-53,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
41,10-59-54,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
42,10-59-55,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
43,10-59-56,56,59.0,-3.0,0,-0.125,1,9.2
44,10-59-57,56,59.125,-3.125,0,0.125,0,-15.9375
45,10-59-58,56,59.125,-3.125,0,0.0,0,-3.4375000000000004
46,10-59-59,56,59.0,-3.0,0,-0.125,1,9.2
47,11-00-00,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
48,11-00-01,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
49,11-00-02,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
50,11-00-03,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
51,11-00-04,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
52,11-00-05,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
53,11-00-06,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
54,11-00-07,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
55,11-00-08,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
56,11-00-09,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
57,11-00-10,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
58,11-00-11,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
59,11-00-12,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
60,11-00-13,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
61,11-00-14,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
62,11-00-15,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
63,11-00-16,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
64,11-00-17,56,59.0,-3.0,0,0.0,0,-3.3000000000000003
