stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,12-43-04,65,19.5,45.5,1,0,1,42.021
1,12-43-05,65,19.5,45.5,1,0.0,1,42.021
2,12-43-06,65,19.5,45.5,1,0.0,1,42.021
3,12-43-07,65,19.5,45.5,1,0.0,1,42.021
4,12-43-08,65,19.5,45.5,1,0.0,1,42.021
5,12-43-09,65,19.5,45.5,1,0.0,1,42.021
6,12-43-10,65,19.5,45.5,1,0.0,1,42.021
7,12-43-11,65,19.5,45.5,1,0.0,1,42.021
8,12-43-12,65,19.5,45.5,1,0.0,1,42.021
9,12-43-13,65,19.5,45.5,1,0.0,1,42.021
10,12-43-14,65,19.5,45.5,1,0.0,1,42.021
11,12-43-15,65,19.5,45.5,1,0.0,1,42.021
12,12-43-16,65,19.5,45.5,1,0.0,1,42.021
13,12-43-17,65,19.5,45.5,1,0.0,1,42.021
14,12-43-18,65,19.5,45.5,1,0.0,1,42.021
15,12-43-19,65,19.5,45.5,1,0.0,1,42.021
16,12-43-20,65,19.5,45.5,1,0.0,1,42.021
17,12-43-21,65,19.5,45.5,1,0.0,1,42.021
18,12-43-22,65,19.5,45.5,1,0.0,1,42.021
19,12-43-23,65,19.5,45.5,1,0.0,1,42.021
20,12-43-24,65,19.5,45.5,1,0.0,1,42.021
21,12-43-25,65,19.5,45.5,1,0.0,1,42.021
22,12-43-26,65,19.5,45.5,1,0.0,1,42.021
23,12-43-27,65,19.625,45.375,1,0.125,1,40.89450000000001
24,12-43-28,65,19.5,45.5,1,-0.125,1,43.03225
25,12-43-29,65,19.625,45.375,1,0.125,1,40.89450000000001
26,12-43-30,65,19.5,45.5,1,-0.125,1,43.03225
27,12-43-31,65,19.625,45.375,1,0.125,1,40.89450000000001
28,12-43-32,65,19.625,45.375,1,0.0,1,41.905750000000005
29,12-43-33,65,19.625,45.375,1,0.0,1,41.905750000000005
30,12-43-34,65,19.625,45.375,1,0.0,1,41.905750000000005
31,12-43-35,65,19.625,45.375,1,0.0,1,41.905750000000005
32,12-43-36,65,19.625,45.375,1,0.0,1,41.905750000000005
33,12-43-37,65,19.625,45.375,1,0.0,1,41.905750000000005
34,12-43-38,65,19.625,45.375,1,0.0,1,41.905750000000005
35,12-43-39,65,19.625,45.375,1,0.0,1,41.905750000000005
36,12-43-40,65,19.625,45.375,1,0.0,1,41.905750000000005
37,12-43-41,65,19.75,45.25,1,0.125,1,40.779250000000005
38,12-43-42,65,19.625,45.375,1,-0.125,1,42.917
39,12-43-43,65,19.75,45.25,1,0.125,1,40.779250000000005
40,12-43-44,65,19.75,45.25,1,0.0,1,41.7905
41,12-43-45,65,19.75,45.25,1,0.0,1,41.7905
42,12-43-46,65,19.75,45.25,1,0.0,1,41.7905
43,12-43-47,65,19.75,45.25,1,0.0,1,41.7905
44,12-43-48,65,19.75,45.25,1,0.0,1,41.7905
45,12-43-49,65,19.75,45.25,1,0.0,1,41.7905
46,12-43-50,65,19.75,45.25,1,0.0,1,41.7905
47,12-43-51,65,19.75,45.25,1,0.0,1,41.7905
48,12-43-52,65,19.75,45.25,1,0.0,1,41.7905
49,12-43-53,65,19.75,45.25,1,0.0,1,41.7905
50,12-43-54,65,19.75,45.25,1,0.0,1,41.7905
51,12-43-55,65,19.75,45.25,1,0.0,1,41.7905
52,12-43-56,65,19.875,45.125,1,0.125,1,40.66400000000001
53,12-43-57,65,19.75,45.25,1,-0.125,1,42.80175
54,12-43-58,65,19.875,45.125,1,0.125,1,40.66400000000001
55,12-43-59,65,19.875,45.125,1,0.0,1,41.675250000000005
56,12-44-00,65,19.875,45.125,1,0.0,1,41.675250000000005
57,12-44-01,65,19.875,45.125,1,0.0,1,41.675250000000005
58,12-44-02,65,19.875,45.125,1,0.0,1,41.675250000000005
59,12-44-03,65,19.875,45.125,1,0.0,1,41.675250000000005
60,12-44-04,65,19.875,45.125,1,0.0,1,41.675250000000005
61,12-44-05,65,20.0,45.0,1,0.125,1,40.548750000000005
62,12-44-06,65,20.0,45.0,1,0.0,1,41.56
63,12-44-07,65,20.0,45.0,1,0.0,1,41.56
64,12-44-08,65,20.0,45.0,1,0.0,1,41.56
65,12-44-09,65,20.0,45.0,1,0.0,1,41.56
66,12-44-10,65,20.125,44.875,1,0.125,1,40.4335
67,12-44-11,65,20.125,44.875,1,0.0,1,41.44475
68,12-44-12,65,20.125,44.875,1,0.0,1,41.44475
69,12-44-13,65,20.125,44.875,1,0.0,1,41.44475
70,12-44-14,65,20.25,44.75,1,0.125,1,40.318250000000006
71,12-44-15,65,20.25,44.75,1,0.0,1,41.3295
72,12-44-16,65,20.25,44.75,1,0.0,1,41.3295
73,12-44-17,65,20.375,44.625,1,0.125,1,40.203
74,12-44-18,65,20.375,44.625,1,0.0,1,41.21425
75,12-44-19,65,20.375,44.625,1,0.0,1,41.21425
76,12-44-20,65,20.375,44.625,1,0.0,1,41.21425
77,12-44-21,65,20.375,44.625,1,0.0,1,41.21425
78,12-44-22,65,20.375,44.625,1,0.0,1,41.21425
79,12-44-23,65,20.5,44.5,1,0.125,1,40.08775000000001
80,12-44-24,65,20.5,44.5,1,0.0,1,41.099000000000004
81,12-44-25,65,20.5,44.5,1,0.0,1,41.099000000000004
82,12-44-26,65,20.625,44.375,1,0.125,1,39.972500000000004
83,12-44-27,65,20.625,44.375,1,0.0,1,40.98375
84,12-44-28,65,20.625,44.375,1,0.0,1,40.98375
85,12-44-29,65,20.75,44.25,1,0.125,1,39.85725000000001
86,12-44-30,65,20.75,44.25,1,0.0,1,40.868500000000004
87,12-44-31,65,20.875,44.125,1,0.125,1,39.742000000000004
88,12-44-32,65,20.875,44.125,1,0.0,1,40.75325
89,12-44-33,65,20.875,44.125,1,0.0,1,40.75325
90,12-44-34,65,20.875,44.125,1,0.0,1,40.75325
91,12-44-35,65,20.875,44.125,1,0.0,1,40.75325
92,12-44-36,65,21.0,44.0,1,0.125,1,39.62675000000001
93,12-44-37,65,21.0,44.0,1,0.0,1,40.638000000000005
94,12-44-38,65,21.0,44.0,1,0.0,1,40.638000000000005
95,12-44-39,65,21.0,44.0,1,0.0,1,40.638000000000005
96,12-44-40,65,21.0,44.0,1,0.0,1,40.638000000000005
97,12-44-41,65,21.0,44.0,1,0.0,1,40.638000000000005
98,12-44-42,65,21.125,43.875,1,0.125,1,39.511500000000005
99,12-44-43,65,21.125,43.875,1,0.0,1,40.52275
100,12-44-44,65,21.125,43.875,1,0.0,1,40.52275
101,12-44-45,65,21.125,43.875,1,0.0,1,40.52275
102,12-44-46,65,21.125,43.875,1,0.0,1,40.52275
103,12-44-47,65,21.125,43.875,1,0.0,1,40.52275
104,12-44-48,65,21.125,43.875,1,0.0,1,40.52275
105,12-44-49,65,21.25,43.75,1,0.125,1,39.39625
106,12-44-50,65,21.375,43.625,1,0.125,1,39.281000000000006
107,12-44-51,65,21.375,43.625,1,0.0,1,40.29225
108,12-44-52,65,21.375,43.625,1,0.0,1,40.29225
109,12-44-53,65,21.5,43.5,1,0.125,1,39.16575
110,12-44-54,65,21.5,43.5,1,0.0,1,40.177
111,12-44-55,65,21.5,43.5,1,0.0,1,40.177
112,12-44-56,65,21.5,43.5,1,0.0,1,40.177
113,12-44-57,65,21.625,43.375,1,0.125,1,39.05050000000001
114,12-44-58,65,21.625,43.375,1,0.0,1,40.06175
115,12-44-59,65,21.75,43.25,1,0.125,1,38.93525
116,12-45-00,65,21.75,43.25,1,0.0,1,39.9465
117,12-45-01,65,21.75,43.25,1,0.0,1,39.9465
118,12-45-02,65,21.75,43.25,1,0.0,1,39.9465
119,12-45-03,65,21.875,43.125,1,0.125,1,38.82000000000001
120,12-45-04,65,21.75,43.25,1,-0.125,1,40.95775
121,12-45-05,65,21.875,43.125,1,0.125,1,38.82000000000001
122,12-45-06,65,21.875,43.125,1,0.0,1,39.831250000000004
123,12-45-07,65,21.875,43.125,1,0.0,1,39.831250000000004
124,12-45-08,65,21.875,43.125,1,0.0,1,39.831250000000004
125,12-45-09,65,22.0,43.0,1,0.125,1,38.704750000000004
126,12-45-10,65,22.0,43.0,1,0.0,1,39.716
127,12-45-11,65,22.125,42.875,1,0.125,1,38.58950000000001
128,12-45-12,65,22.125,42.875,1,0.0,1,39.600750000000005
129,12-45-13,65,22.25,42.75,1,0.125,1,38.474250000000005
130,12-45-14,65,22.25,42.75,1,0.0,1,39.4855
131,12-45-15,65,22.375,42.625,1,0.125,1,38.359
132,12-45-16,65,22.375,42.625,1,0.0,1,39.37025
133,12-45-17,65,22.375,42.625,1,0.0,1,39.37025
134,12-45-18,65,22.375,42.625,1,0.0,1,39.37025
135,12-45-19,65,22.5,42.5,1,0.125,1,38.243750000000006
136,12-45-20,65,22.5,42.5,1,0.0,1,39.255
137,12-45-21,65,22.5,42.5,1,0.0,1,39.255
138,12-45-22,65,22.5,42.5,1,0.0,1,39.255
139,12-45-23,65,22.625,42.375,1,0.125,1,38.1285
140,12-45-24,65,22.625,42.375,1,0.0,1,39.13975
141,12-45-25,65,22.75,42.25,1,0.125,1,38.013250000000006
142,12-45-26,65,22.75,42.25,1,0.0,1,39.0245
143,12-45-27,65,22.75,42.25,1,0.0,1,39.0245
144,12-45-28,65,22.875,42.125,1,0.125,1,37.898
145,12-45-29,65,22.875,42.125,1,0.0,1,38.90925
146,12-45-30,65,22.875,42.125,1,0.0,1,38.90925
147,12-45-31,65,22.875,42.125,1,0.0,1,38.90925
148,12-45-32,65,23.0,42.0,1,0.125,1,37.78275000000001
149,12-45-33,65,23.125,41.875,1,0.125,1,37.667500000000004
150,12-45-34,65,23.125,41.875,1,0.0,1,38.67875
151,12-45-35,65,23.125,41.875,1,0.0,1,38.67875
152,12-45-36,65,23.125,41.875,1,0.0,1,38.67875
153,12-45-37,65,23.125,41.875,1,0.0,1,38.67875
154,12-45-38,65,23.25,41.75,1,0.125,1,37.55225000000001
155,12-45-39,65,23.25,41.75,1,0.0,1,38.563500000000005
156,12-45-40,65,23.25,41.75,1,0.0,1,38.563500000000005
157,12-45-41,65,23.375,41.625,1,0.125,1,37.437000000000005
158,12-45-42,65,23.375,41.625,1,0.0,1,38.44825
159,12-45-43,65,23.375,41.625,1,0.0,1,38.44825
160,12-45-44,65,23.375,41.625,1,0.0,1,38.44825
161,12-45-45,65,23.5,41.5,1,0.125,1,37.32175000000001
162,12-45-46,65,23.5,41.5,1,0.0,1,38.333000000000006
163,12-45-47,65,23.625,41.375,1,0.125,1,37.206500000000005
164,12-45-48,65,23.625,41.375,1,0.0,1,38.21775
165,12-45-49,65,23.625,41.375,1,0.0,1,38.21775
166,12-45-50,65,23.75,41.25,1,0.125,1,37.09125
167,12-45-51,65,23.75,41.25,1,0.0,1,38.1025
