stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,12-08-01,65,21.25,43.75,1,0,1,118.9435
1,12-08-02,65,21.0625,43.9375,1,-0.1875,1,121.1254375
2,12-08-03,65,20.875,44.125,1,-0.1875,1,121.63431250000001
3,12-08-04,65,20.875,44.125,1,0.0,1,119.96125
4,12-08-05,65,20.75,44.25,1,-0.125,1,121.415875
5,12-08-06,65,20.6875,44.3125,1,-0.0625,1,121.0278125
6,12-08-07,65,20.5625,44.4375,1,-0.125,1,121.92475
7,12-08-08,65,20.5,44.5,1,-0.0625,1,121.5366875
8,12-08-09,65,20.4375,44.5625,1,-0.0625,1,121.7063125
9,12-08-10,65,20.375,44.625,1,-0.0625,1,121.8759375
10,12-08-11,65,20.3125,44.6875,1,-0.0625,1,122.0455625
11,12-08-12,65,20.25,44.75,1,-0.0625,1,122.2151875
12,12-08-13,65,20.1875,44.8125,1,-0.0625,1,122.3848125
13,12-08-14,65,20.1875,44.8125,1,0.0,1,121.827125
14,12-08-15,65,20.125,44.875,1,-0.0625,1,122.5544375
15,12-08-16,65,20.1875,44.8125,1,0.0625,1,121.2694375
16,12-08-17,65,20.125,44.875,1,-0.0625,1,122.5544375
17,12-08-18,65,20.125,44.875,1,0.0,1,121.99675
18,12-08-19,65,20.0,45.0,1,-0.125,1,123.451375
19,12-08-20,65,20.0,45.0,1,0.0,1,122.336
20,12-08-21,65,20.0,45.0,1,0.0,1,122.336
21,12-08-22,65,19.9375,45.0625,1,-0.0625,1,123.0633125
22,12-08-23,65,19.9375,45.0625,1,0.0,1,122.505625
23,12-08-24,65,19.875,45.125,1,-0.0625,1,123.2329375
24,12-08-25,65,19.875,45.125,1,0.0,1,122.67525
25,12-08-26,65,19.875,45.125,1,0.0,1,122.67525
26,12-08-27,65,19.8125,45.1875,1,-0.0625,1,123.4025625
27,12-08-28,65,19.8125,45.1875,1,0.0,1,122.844875
28,12-08-29,65,19.8125,45.1875,1,0.0,1,122.844875
29,12-08-30,65,19.8125,45.1875,1,0.0,1,122.844875
30,12-08-31,65,19.75,45.25,1,-0.0625,1,123.5721875
31,12-08-32,65,19.75,45.25,1,0.0,1,123.0145
32,12-08-33,65,19.6875,45.3125,1,-0.0625,1,123.7418125
33,12-08-34,65,19.75,45.25,1,0.0625,1,122.4568125
34,12-08-35,65,19.75,45.25,1,0.0,1,123.0145
