stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,15-36-31,65,22.3125,42.6875,0,0,1,21.34375
1,15-36-32,65,22.375,42.625,0,0,1,21.3125
2,15-36-33,65,22.3125,42.6875,0,0,1,21.34375
3,15-36-34,65,22.3125,42.6875,0,0,1,21.34375
4,15-36-35,65,22.3125,42.6875,0,0,1,21.34375
5,15-36-36,65,22.3125,42.6875,0,0,1,21.34375
6,15-36-37,65,22.3125,42.6875,0,0,1,21.34375
7,15-36-38,65,22.3125,42.6875,0,0,1,21.34375
8,15-36-39,65,22.375,42.625,0,0,1,21.3125
9,15-36-40,65,22.375,42.625,0,0,1,21.3125
10,15-36-41,65,22.375,42.625,0,0,1,21.3125
11,15-36-42,65,22.375,42.625,0,0,1,21.3125
12,15-36-43,65,22.375,42.625,0,0,1,21.3125
13,15-36-44,65,22.375,42.625,0,0,1,21.3125
14,15-36-45,65,22.375,42.625,0,0,1,21.3125
15,15-36-46,65,22.375,42.625,0,0,1,21.3125
16,15-36-47,65,22.3125,42.6875,0,0,1,21.34375
17,15-36-48,65,22.375,42.625,0,0,1,21.3125
18,15-36-49,65,22.375,42.625,0,0,1,21.3125
19,15-36-50,65,22.4375,42.5625,0,0,1,21.28125
20,15-36-51,65,22.4375,42.5625,0,0,1,21.28125
21,15-36-52,65,22.375,42.625,0,0,1,21.3125
22,15-36-53,65,22.375,42.625,0,0,1,21.3125
23,15-36-54,65,22.375,42.625,0,0,1,21.3125
24,15-36-55,65,22.375,42.625,0,0,1,21.3125
25,15-36-56,65,22.375,42.625,0,0,1,21.3125
26,15-36-57,65,22.375,42.625,0,0,1,21.3125
27,15-36-58,65,22.4375,42.5625,0,0,1,21.28125
28,15-36-59,65,22.4375,42.5625,0,0,1,21.28125
29,15-37-00,65,22.375,42.625,0,0,1,21.3125
30,15-37-01,65,22.375,42.625,0,0,1,21.3125
31,15-37-02,65,22.375,42.625,0,0,1,21.3125
32,15-37-03,65,22.375,42.625,0,0,1,21.3125
33,15-37-04,65,22.4375,42.5625,0,0,1,21.28125
34,15-37-05,65,22.375,42.625,0,0,1,21.3125
35,15-37-06,65,22.375,42.625,0,0,1,21.3125
36,15-37-07,65,22.4375,42.5625,0,0,1,21.28125
37,15-37-08,65,22.4375,42.5625,0,0,1,21.28125
38,15-37-09,65,22.4375,42.5625,0,0,1,21.28125
39,15-37-10,65,22.4375,42.5625,0,0,1,21.28125
40,15-37-11,65,22.4375,42.5625,0,0,1,21.28125
41,15-37-12,65,22.5,42.5,0,0,1,21.25
42,15-37-13,65,22.5,42.5,0,0,1,21.25
43,15-37-14,65,22.5,42.5,0,0,1,21.25
44,15-37-15,65,22.5,42.5,0,0,1,21.25
45,15-37-16,65,22.5,42.5,0,0,1,21.25
46,15-37-17,65,22.5,42.5,0,0,1,21.25
47,15-37-18,65,22.5,42.5,0,0,1,21.25
48,15-37-19,65,22.5,42.5,0,0,1,21.25
49,15-37-20,65,22.5,42.5,0,0,1,21.25
50,15-37-21,65,22.5625,42.4375,0,0,1,21.21875
51,15-37-22,65,22.625,42.375,0,0,1,21.1875
52,15-37-23,65,22.5625,42.4375,0,0,1,21.21875
53,15-37-24,65,22.5625,42.4375,0,0,1,21.21875
54,15-37-25,65,22.625,42.375,0,0,1,21.1875
55,15-37-26,65,22.625,42.375,0,0,1,21.1875
