stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,14-34-52,65,21.25,43.75,0,0,1,87.5
1,14-34-52,65,21.25,43.75,0,0,1,87.5
2,14-34-54,65,21.25,43.75,0,0,1,87.5
3,14-34-54,65,21.25,43.75,0,0,1,87.5
4,14-34-56,65,21.25,43.75,0,0,1,87.5
5,14-34-56,65,21.25,43.75,0,0,1,87.5
6,14-34-58,65,21.25,43.75,0,0,1,87.5
7,14-34-58,65,21.25,43.75,0,0,1,87.5
8,14-35-00,65,21.3125,43.6875,0,0,1,87.375
9,14-35-00,65,21.25,43.75,0,0,1,87.5
10,14-35-02,65,21.3125,43.6875,0,0,1,87.375
11,14-35-02,65,21.3125,43.6875,0,0,1,87.375
12,14-35-04,65,21.3125,43.6875,0,0,1,87.375
13,14-35-04,65,21.3125,43.6875,0,0,1,87.375
14,14-35-06,65,21.3125,43.6875,0,0,1,87.375
15,14-35-06,65,21.3125,43.6875,0,0,1,87.375
16,14-35-08,65,21.375,43.625,0,0,1,87.25
17,14-35-08,65,21.4375,43.5625,0,0,1,87.125
18,14-35-10,65,21.375,43.625,0,0,1,87.25
19,14-35-10,65,21.375,43.625,0,0,1,87.25
20,14-35-12,65,21.4375,43.5625,0,0,1,87.125
21,14-35-12,65,21.375,43.625,0,0,1,87.25
22,14-35-14,65,21.375,43.625,0,0,1,87.25
23,14-35-14,65,21.375,43.625,0,0,1,87.25
24,14-35-16,65,21.375,43.625,0,0,1,87.25
25,14-35-16,65,21.375,43.625,0,0,1,87.25
26,14-35-18,65,21.4375,43.5625,0,0,1,87.125
27,14-35-18,65,21.4375,43.5625,0,0,1,87.125
28,14-35-20,65,21.5,43.5,0,0,1,87.0
29,14-35-20,65,21.4375,43.5625,0,0,1,87.125
30,14-35-22,65,21.4375,43.5625,0,0,1,87.125
31,14-35-22,65,21.5,43.5,0,0,1,87.0
32,14-35-24,65,21.5,43.5,0,0,1,87.0
33,14-35-24,65,21.5,43.5,0,0,1,87.0
34,14-35-26,65,21.5625,43.4375,0,0,1,86.875
35,14-35-26,65,21.5,43.5,0,0,1,87.0
36,14-35-28,65,21.5,43.5,0,0,1,87.0
37,14-35-28,65,21.5,43.5,0,0,1,87.0
38,14-35-30,65,21.5625,43.4375,0,0,1,86.875
39,14-35-30,65,21.5,43.5,0,0,1,87.0
40,14-35-32,65,21.5625,43.4375,0,0,1,86.875
41,14-35-32,65,21.625,43.375,0,0,1,86.75
42,14-35-34,65,21.5625,43.4375,0,0,1,86.875
43,14-35-34,65,21.5625,43.4375,0,0,1,86.875
44,14-35-36,65,21.625,43.375,0,0,1,86.75
45,14-35-36,65,21.625,43.375,0,0,1,86.75
46,14-35-38,65,21.625,43.375,0,0,1,86.75
47,14-35-38,65,21.625,43.375,0,0,1,86.75
48,14-35-40,65,21.6875,43.3125,0,0,1,86.625
49,14-35-40,65,21.6875,43.3125,0,0,1,86.625
50,14-35-42,65,21.8125,43.1875,0,0,1,86.375
51,14-35-42,65,21.8125,43.1875,0,0,1,86.375
52,14-35-44,65,22.0,43.0,0,0,1,86.0
53,14-35-44,65,22.0,43.0,0,0,1,86.0
54,14-35-46,65,22.125,42.875,0,0,1,85.75
55,14-35-46,65,22.25,42.75,0,0,1,85.5
56,14-35-48,65,22.375,42.625,0,0,1,85.25
57,14-35-48,65,22.4375,42.5625,0,0,1,85.125
58,14-35-50,65,22.5,42.5,0,0,1,85.0
59,14-35-50,65,22.4375,42.5625,0,0,1,85.125
60,14-35-52,65,22.4375,42.5625,0,0,1,85.125
61,14-35-52,65,22.5625,42.4375,0,0,1,84.875
62,14-35-54,65,22.625,42.375,0,0,1,84.75
63,14-35-54,65,22.625,42.375,0,0,1,84.75
64,14-35-56,65,22.625,42.375,0,0,1,84.75
65,14-35-56,65,22.625,42.375,0,0,1,84.75
66,14-35-58,65,22.6875,42.3125,0,0,1,84.625
67,14-35-58,65,22.6875,42.3125,0,0,1,84.625
68,14-36-00,65,22.6875,42.3125,0,0,1,84.625
69,14-36-01,65,22.75,42.25,0,0,1,84.5
70,14-36-02,65,22.8125,42.1875,0,0,1,84.375
71,14-36-02,65,22.875,42.125,0,0,1,84.25
72,14-36-04,65,22.9375,42.0625,0,0,1,84.125
73,14-36-05,65,23.0625,41.9375,0,0,1,83.875
74,14-36-06,65,23.0625,41.9375,0,0,1,83.875
75,14-36-06,65,23.0625,41.9375,0,0,1,83.875
76,14-36-08,65,23.1875,41.8125,0,0,1,83.625
77,14-36-08,65,23.3125,41.6875,0,0,1,83.375
78,14-36-10,65,23.375,41.625,0,0,1,83.25
79,14-36-10,65,23.4375,41.5625,0,0,1,83.125
80,14-36-12,65,23.5,41.5,0,0,1,83.0
81,14-36-12,65,23.5625,41.4375,0,0,1,82.875
82,14-36-14,65,23.625,41.375,0,0,1,82.75
83,14-36-14,65,23.625,41.375,0,0,1,82.75
84,14-36-16,65,23.5625,41.4375,0,0,1,82.875
85,14-36-16,65,23.625,41.375,0,0,1,82.75
86,14-36-18,65,23.6875,41.3125,0,0,1,82.625
87,14-36-18,65,23.75,41.25,0,0,1,82.5
88,14-36-20,65,23.75,41.25,0,0,1,82.5
89,14-36-20,65,23.8125,41.1875,0,0,1,82.375
90,14-36-22,65,23.8125,41.1875,0,0,1,82.375
91,14-36-22,65,23.8125,41.1875,0,0,1,82.375
92,14-36-24,65,23.8125,41.1875,0,0,1,82.375
93,14-36-24,65,23.75,41.25,0,0,1,82.5
94,14-36-26,65,23.75,41.25,0,0,1,82.5
95,14-36-26,65,23.75,41.25,0,0,1,82.5
96,14-36-28,65,23.75,41.25,0,0,1,82.5
97,14-36-29,65,23.8125,41.1875,0,0,1,82.375
98,14-36-30,65,23.75,41.25,0,0,1,82.5
99,14-36-30,65,23.8125,41.1875,0,0,1,82.375
100,14-36-32,65,23.75,41.25,0,0,1,82.5
101,14-36-32,65,23.75,41.25,0,0,1,82.5
102,14-36-34,65,23.875,41.125,0,0,1,82.25
103,14-36-34,65,24.0,41.0,0,0,1,82.0
104,14-36-36,65,24.125,40.875,0,0,1,81.75
105,14-36-36,65,24.1875,40.8125,0,0,1,81.625
106,14-36-38,65,24.3125,40.6875,0,0,1,81.375
107,14-36-38,65,24.375,40.625,0,0,1,81.25
108,14-36-40,65,24.3125,40.6875,0,0,1,81.375
109,14-36-40,65,24.3125,40.6875,0,0,1,81.375
110,14-36-42,65,24.3125,40.6875,0,0,1,81.375
111,14-36-42,65,24.3125,40.6875,0,0,1,81.375
