stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,21-09-28,65,21.4375,43.5625,1,0,1,1.8712499999999999
1,21-09-29,65,21.375,43.625,1,0,1,1.8725
2,21-09-30,65,21.25,43.75,1,0,1,1.875
3,21-09-31,65,21.1875,43.8125,1,0,1,1.87625
4,21-09-32,65,21.25,43.75,1,0,1,1.875
5,21-09-33,65,21.25,43.75,1,0,1,1.875
6,21-09-34,65,21.1875,43.8125,1,0,1,1.87625
7,21-09-35,65,21.125,43.875,1,0,1,1.8775
8,21-09-36,65,21.0625,43.9375,1,0,1,1.8787500000000001
9,21-09-37,65,21.0,44.0,1,0,1,1.88
10,21-09-38,65,20.9375,44.0625,1,0,1,1.88125
11,21-09-39,65,20.8125,44.1875,1,0,1,1.88375
12,21-09-40,65,20.8125,44.1875,1,0,1,1.88375
13,21-09-41,65,20.75,44.25,1,0,1,1.885
14,21-09-42,65,20.75,44.25,1,0,1,1.885
15,21-09-43,65,20.75,44.25,1,0,1,1.885
16,21-09-44,65,20.75,44.25,1,0,1,1.885
17,21-09-45,65,20.75,44.25,1,0,1,1.885
18,21-09-46,65,20.6875,44.3125,1,0,1,1.88625
19,21-09-47,65,20.6875,44.3125,1,0,1,1.88625
20,21-09-48,65,20.6875,44.3125,1,0,1,1.88625
21,21-09-49,65,20.625,44.375,1,0,1,1.8875000000000002
22,21-09-50,65,20.6875,44.3125,1,0,1,1.88625
23,21-09-51,65,20.6875,44.3125,1,0,1,1.88625
24,21-09-52,65,20.6875,44.3125,1,0,1,1.88625
25,21-09-53,65,20.75,44.25,1,0,1,1.885
26,21-09-54,65,20.75,44.25,1,0,1,1.885
27,21-09-55,65,20.75,44.25,1,0,1,1.885
28,21-09-56,65,20.75,44.25,1,0,1,1.885
29,21-09-57,65,20.75,44.25,1,0,1,1.885
30,21-09-58,65,20.8125,44.1875,1,0,1,1.88375
31,21-09-59,65,20.8125,44.1875,1,0,1,1.88375
32,21-10-00,65,20.8125,44.1875,1,0,1,1.88375
33,21-10-01,65,20.8125,44.1875,1,0,1,1.88375
34,21-10-02,65,20.8125,44.1875,1,0,1,1.88375
35,21-10-03,65,20.8125,44.1875,1,0,1,1.88375
36,21-10-04,65,20.875,44.125,1,0,1,1.8825
37,21-10-05,65,20.875,44.125,1,0,1,1.8825
38,21-10-06,65,20.875,44.125,1,0,1,1.8825
39,21-10-07,65,20.875,44.125,1,0,1,1.8825
40,21-10-08,65,20.875,44.125,1,0,1,1.8825
41,21-10-09,65,20.9375,44.0625,1,0,1,1.88125
42,21-10-10,65,20.9375,44.0625,1,0,1,1.88125
43,21-10-11,65,20.9375,44.0625,1,0,1,1.88125
44,21-10-12,65,21.0,44.0,1,0,1,1.88
45,21-10-13,65,21.0,44.0,1,0,1,1.88
46,21-10-14,65,21.0625,43.9375,1,0,1,1.8787500000000001
47,21-10-15,65,21.0625,43.9375,1,0,1,1.8787500000000001
48,21-10-16,65,21.0625,43.9375,1,0,1,1.8787500000000001
49,21-10-17,65,21.125,43.875,1,0,1,1.8775
50,21-10-18,65,21.1875,43.8125,1,0,1,1.87625
51,21-10-19,65,21.125,43.875,1,0,1,1.8775
52,21-10-20,65,21.1875,43.8125,1,0,1,1.87625
53,21-10-21,65,21.1875,43.8125,1,0,1,1.87625
54,21-10-22,65,21.1875,43.8125,1,0,1,1.87625
55,21-10-23,65,21.1875,43.8125,1,0,1,1.87625
56,21-10-24,65,21.375,43.625,1,0,1,1.8725
57,21-10-25,65,21.375,43.625,1,0,1,1.8725
58,21-10-26,65,21.4375,43.5625,1,0,1,1.8712499999999999
59,21-10-27,65,21.5,43.5,1,0,1,1.87
60,21-10-28,65,21.5,43.5,1,0,1,1.87
61,21-10-29,65,21.5625,43.4375,1,0,1,1.86875
62,21-10-30,65,21.5625,43.4375,1,0,1,1.86875
63,21-10-31,65,21.6875,43.3125,1,0,1,1.86625
64,21-10-32,65,21.6875,43.3125,1,0,1,1.86625
65,21-10-33,65,21.8125,43.1875,1,0,1,1.86375
66,21-10-34,65,22.125,42.875,1,0,1,1.8575
67,21-10-35,65,22.4375,42.5625,1,0,1,1.85125
68,21-10-36,65,22.5625,42.4375,1,0,1,1.84875
69,21-10-37,65,22.625,42.375,1,0,1,1.8475000000000001
70,21-10-38,65,22.625,42.375,1,0,1,1.8475000000000001
71,21-10-39,65,22.625,42.375,1,0,1,1.8475000000000001
72,21-10-40,65,22.625,42.375,1,0,1,1.8475000000000001
73,21-10-41,65,22.625,42.375,1,0,1,1.8475000000000001
74,21-10-42,65,22.625,42.375,1,0,1,1.8475000000000001
75,21-10-43,65,22.5625,42.4375,1,0,1,1.84875
76,21-10-44,65,22.5625,42.4375,1,0,1,1.84875
77,21-10-45,65,22.5,42.5,1,0,1,1.85
78,21-10-46,65,22.625,42.375,1,0,1,1.8475000000000001
79,21-10-47,65,22.6875,42.3125,1,0,1,1.84625
80,21-10-48,65,22.8125,42.1875,1,0,1,1.84375
81,21-10-49,65,22.875,42.125,1,0,1,1.8425
82,21-10-50,65,22.9375,42.0625,1,0,1,1.84125
83,21-10-51,65,22.9375,42.0625,1,0,1,1.84125
84,21-10-52,65,23.125,41.875,1,0,1,1.8375
85,21-10-53,65,23.1875,41.8125,1,0,1,1.8362500000000002
86,21-10-54,65,23.1875,41.8125,1,0,1,1.8362500000000002
87,21-10-55,65,23.25,41.75,1,0,1,1.835
88,21-10-56,65,23.25,41.75,1,0,1,1.835
89,21-10-57,65,23.25,41.75,1,0,1,1.835
90,21-10-58,65,23.1875,41.8125,1,0,1,1.8362500000000002
91,21-10-59,65,23.3125,41.6875,1,0,1,1.83375
92,21-11-00,65,23.5625,41.4375,1,0,1,1.8287499999999999
93,21-11-01,65,23.8125,41.1875,1,0,1,1.82375
94,21-11-02,65,23.9375,41.0625,1,0,1,1.82125
95,21-11-03,65,24.0625,40.9375,1,0,1,1.81875
96,21-11-04,65,24.125,40.875,1,0,1,1.8175
97,21-11-05,65,24.125,40.875,1,0,1,1.8175
98,21-11-06,65,24.1875,40.8125,1,0,1,1.8162500000000001
99,21-11-07,65,24.3125,40.6875,1,0,1,1.81375
100,21-11-08,65,24.4375,40.5625,1,0,1,1.81125
101,21-11-09,65,24.5,40.5,1,0,1,1.81
102,21-11-10,65,24.5625,40.4375,1,0,1,1.8087499999999999
103,21-11-11,65,24.5625,40.4375,1,0,1,1.8087499999999999
104,21-11-12,65,24.625,40.375,1,0,1,1.8075
