stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome
2116,11-38-52,60,61.437,-1.4369999999999976,0,0.0,0
2117,11-38-54,60,61.437,-1.4369999999999976,0,0.0,0
2118,11-38-57,60,61.437,-1.4369999999999976,0,0.0,0
2119,11-39-00,60,61.437,-1.4369999999999976,0,0.0,0
2120,11-39-03,60,61.437,-1.4369999999999976,0,0.0,0
2121,11-39-05,60,61.375,-1.375,0,-0.06199999999999761,0
2122,11-39-08,60,61.375,-1.375,0,0.0,0
2123,11-39-11,60,61.437,-1.4369999999999976,0,0.06199999999999761,0
2124,11-39-14,60,61.437,-1.4369999999999976,0,0.0,0
2125,11-39-16,60,61.375,-1.375,0,-0.06199999999999761,0
2126,11-39-19,60,61.375,-1.375,0,0.0,0
2127,11-39-22,60,61.375,-1.375,0,0.0,0
2128,11-39-24,60,61.375,-1.375,0,0.0,0
2129,11-39-27,60,61.375,-1.375,0,0.0,0
2130,11-39-30,60,61.375,-1.375,0,0.0,0
2131,11-39-33,60,61.375,-1.375,0,0.0,0
2132,11-39-35,60,61.375,-1.375,0,0.0,0
2133,11-39-38,60,61.375,-1.375,0,0.0,0
2134,11-39-41,60,61.375,-1.375,0,0.0,0
2135,11-39-44,60,61.312,-1.3119999999999976,0,-0.06300000000000239,0
2136,11-39-46,60,61.375,-1.375,0,0.06300000000000239,0
2137,11-39-49,60,61.312,-1.3119999999999976,0,-0.06300000000000239,0
2138,11-39-52,60,61.312,-1.3119999999999976,0,0.0,0
2139,11-39-54,60,61.312,-1.3119999999999976,0,0.0,0
2140,11-39-57,60,61.25,-1.25,0,-0.06199999999999761,0.05
2141,11-40-01,60,61.25,-1.25,0,0.0,0
2142,11-40-03,60,61.25,-1.25,0,0.0,0
2143,11-40-06,60,61.25,-1.25,0,0.0,0
2144,11-40-09,60,61.25,-1.25,0,0.0,0
2145,11-40-12,60,61.187,-1.1869999999999976,0,-0.06300000000000239,0.15
2146,11-40-15,60,61.187,-1.1869999999999976,0,0.0,0
2147,11-40-18,60,61.187,-1.1869999999999976,0,0.0,0
2148,11-40-20,60,61.187,-1.1869999999999976,0,0.0,0
2149,11-40-23,60,61.187,-1.1869999999999976,0,0.0,0
2150,11-40-26,60,61.125,-1.125,0,-0.06199999999999761,0.2
2151,11-40-29,60,61.062,-1.0619999999999976,0,-0.06300000000000239,0.3
2152,11-40-33,60,61.062,-1.0619999999999976,0,0.0,0
2153,11-40-36,60,61.062,-1.0619999999999976,0,0.0,0
2154,11-40-39,60,61.062,-1.0619999999999976,0,0.0,0
2155,11-40-41,60,61.062,-1.0619999999999976,0,0.0,0
2156,11-40-44,60,61.0,-1.0,0,-0.06199999999999761,0.35
2157,11-40-47,60,61.0,-1.0,0,0.0,0
2158,11-40-50,60,60.937,-0.9369999999999976,0,-0.06300000000000239,0.45
2159,11-40-53,60,60.937,-0.9369999999999976,0,0.0,0
2160,11-40-56,60,60.937,-0.9369999999999976,0,0.0,0
2161,11-40-59,60,60.937,-0.9369999999999976,0,0.0,0
2162,11-41-02,60,60.937,-0.9369999999999976,0,0.0,0
2163,11-41-04,60,60.875,-0.875,0,-0.06199999999999761,0.5
2164,11-41-08,60,60.875,-0.875,0,0.0,0
2165,11-41-11,60,60.875,-0.875,0,0.0,0
2166,11-41-13,60,60.812,-0.8119999999999976,0,-0.06300000000000239,0.6
2167,11-41-17,60,60.812,-0.8119999999999976,0,0.0,0
2168,11-41-19,60,60.75,-0.75,0,-0.06199999999999761,0.65
2169,11-41-23,60,60.75,-0.75,0,0.0,0
2170,11-41-26,60,60.75,-0.75,0,0.0,0
2171,11-41-29,60,60.687,-0.6869999999999976,0,-0.06300000000000239,0.75
2172,11-41-32,60,60.687,-0.6869999999999976,0,0.0,0
2173,11-41-35,60,60.687,-0.6869999999999976,0,0.0,0
2174,11-41-38,60,60.687,-0.6869999999999976,0,0.0,0
2175,11-41-40,60,60.687,-0.6869999999999976,0,0.0,0
2176,11-41-43,60,60.687,-0.6869999999999976,0,0.0,0
2177,11-41-46,60,60.687,-0.6869999999999976,0,0.0,0
2178,11-41-48,60,60.75,-0.75,0,0.06300000000000239,0
2179,11-41-51,60,60.687,-0.6869999999999976,0,-0.06300000000000239,0.75
2180,11-41-54,60,60.625,-0.625,0,-0.06199999999999761,0.8
2181,11-41-58,60,60.625,-0.625,0,0.0,0
2182,11-42-01,60,60.562,-0.5619999999999976,0,-0.06300000000000239,0.9
2183,11-42-05,60,60.562,-0.5619999999999976,0,0.0,0
2184,11-42-08,60,60.562,-0.5619999999999976,0,0.0,0
2185,11-42-10,60,60.562,-0.5619999999999976,0,0.0,0
2186,11-42-13,60,60.562,-0.5619999999999976,0,0.0,0
2187,11-42-16,60,60.562,-0.5619999999999976,0,0.0,0
2188,11-42-18,60,60.5,-0.5,0,-0.06199999999999761,0.95
2189,11-42-22,60,60.562,-0.5619999999999976,0,0.06199999999999761,0
2190,11-42-24,60,60.562,-0.5619999999999976,0,0.0,0
2191,11-42-27,60,60.5,-0.5,0,-0.06199999999999761,0.95
2192,11-42-31,60,60.5,-0.5,0,0.0,0
2193,11-42-33,60,60.5,-0.5,0,0.0,0
2194,11-42-36,60,60.5,-0.5,0,0.0,0
2195,11-42-39,60,60.437,-0.4369999999999976,0,-0.06300000000000239,1
2196,11-42-42,60,60.437,-0.4369999999999976,0,0.0,0
2197,11-42-45,60,60.375,-0.375,0,-0.06199999999999761,1
2198,11-42-48,60,60.375,-0.375,0,0.0,0
2199,11-42-51,60,60.312,-0.3119999999999976,0,-0.06300000000000239,1
2200,11-42-54,60,60.312,-0.3119999999999976,0,0.0,0
2201,11-42-57,60,60.312,-0.3119999999999976,0,0.0,0
2202,11-43-00,60,60.375,-0.375,0,0.06300000000000239,0
2203,11-43-03,60,60.437,-0.4369999999999976,0,0.06199999999999761,0
2204,11-43-05,60,60.375,-0.375,0,-0.06199999999999761,1
