stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome
0,09-56-44,60,18.375,41.625,1,0,1
1,09-56-47,60,18.437,41.563,1,0.062000000000001165,1
2,09-56-50,60,18.437,41.563,1,0.0,1
3,09-56-53,60,18.437,41.563,1,0.0,1
4,09-56-56,60,18.5,41.5,1,0.06299999999999883,1
5,09-56-58,60,18.437,41.563,1,-0.06299999999999883,1
6,09-57-01,60,18.437,41.563,1,0.0,1
7,09-57-04,60,18.5,41.5,1,0.06299999999999883,1
8,09-57-07,60,18.437,41.563,1,-0.06299999999999883,1
9,09-57-09,60,18.437,41.563,1,0.0,1
10,09-57-12,60,18.437,41.563,1,0.0,1
11,09-57-15,60,18.437,41.563,1,0.0,1
12,09-57-18,60,18.562,41.438,1,0.125,1
13,09-57-20,60,18.687,41.313,1,0.125,1
14,09-57-23,60,18.75,41.25,1,0.06299999999999883,1
15,09-57-26,60,18.75,41.25,1,0.0,1
16,09-57-28,60,18.625,41.375,1,-0.125,1
17,09-57-31,60,18.625,41.375,1,0.0,1
18,09-57-34,60,18.562,41.438,1,-0.06299999999999883,1
19,09-57-37,60,18.5,41.5,1,-0.062000000000001165,1
20,09-57-39,60,18.562,41.438,1,0.062000000000001165,1
21,09-57-42,60,18.5,41.5,1,-0.062000000000001165,1
22,09-57-45,60,18.437,41.563,1,-0.06299999999999883,1
23,09-57-48,60,18.5,41.5,1,0.06299999999999883,1
24,09-57-50,60,18.5,41.5,1,0.0,1
25,09-57-53,60,18.5,41.5,1,0.0,1
26,09-57-56,60,18.625,41.375,1,0.125,1
27,09-57-59,60,18.812,41.188,1,0.18700000000000117,1
28,09-58-01,60,19.0,41.0,1,0.18799999999999883,1
29,09-58-04,60,19.062,40.938,1,0.062000000000001165,1
30,09-58-07,60,19.187,40.813,1,0.125,1
31,09-58-10,60,19.187,40.813,1,0.0,1
32,09-58-12,60,19.187,40.813,1,0.0,1
33,09-58-15,60,19.187,40.813,1,0.0,1
34,09-58-18,60,19.25,40.75,1,0.06299999999999883,1
35,09-58-20,60,19.25,40.75,1,0.0,1
36,09-58-23,60,19.25,40.75,1,0.0,1
37,09-58-26,60,19.312,40.688,1,0.062000000000001165,1
38,09-58-29,60,19.312,40.688,1,0.0,1
39,09-58-31,60,19.375,40.625,1,0.06299999999999883,1
40,09-58-34,60,19.437,40.563,1,0.062000000000001165,1
