stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,10-21-45,60,43.0,17.0,1,0,1,17.01
1,10-21-46,60,42.9375,17.0625,1,-0.0625,1,20.1975
2,10-21-49,60,42.8125,17.1875,1,-0.125,1,23.4475
3,10-21-50,60,42.875,17.125,1,0.0625,1,14.010000000000002
4,10-21-53,60,42.9375,17.0625,1,0.0625,1,13.947500000000002
5,10-21-54,60,43.0,17.0,1,0.0625,1,13.885000000000002
6,10-21-56,60,43.0625,16.9375,1,0.0625,1,13.822500000000002
7,10-21-57,60,43.0625,16.9375,1,0.0,1,16.9475
8,10-22-00,60,43.0625,16.9375,1,0.0,1,16.9475
9,10-22-01,60,43.0625,16.9375,1,0.0,1,16.9475
10,10-22-04,60,43.125,16.875,1,0.0625,1,13.760000000000002
11,10-22-05,60,43.1875,16.8125,1,0.0625,1,13.697500000000002
12,10-22-08,60,43.25,16.75,1,0.0625,1,13.635000000000002
13,10-22-09,60,43.3125,16.6875,1,0.0625,1,13.572500000000002
14,10-22-12,60,43.25,16.75,1,-0.0625,1,19.885
15,10-22-12,60,43.3125,16.6875,1,0.0625,1,13.572500000000002
16,10-22-15,60,43.4375,16.5625,1,0.125,1,10.322500000000002
17,10-22-16,60,43.5,16.5,1,0.0625,1,13.385000000000002
18,10-22-19,60,43.875,16.125,1,0.375,0,-2.6149999999999984
19,10-22-20,60,44.0,16.0,1,0.125,1,9.760000000000002
20,10-22-24,60,44.375,15.625,1,0.375,0,-3.115
21,10-22-24,60,44.5625,15.4375,1,0.1875,1,6.0725
22,10-22-28,60,44.6875,15.3125,1,0.125,1,9.0725
23,10-22-29,60,44.6875,15.3125,1,0.0,1,15.3225
24,10-22-32,60,44.4375,15.5625,1,-0.25,1,28.072499999999998
25,10-22-33,60,44.4375,15.5625,1,0.0,1,15.5725
26,10-22-35,60,44.375,15.625,1,-0.0625,1,18.759999999999998
27,10-22-36,60,44.4375,15.5625,1,0.0625,1,12.4475
28,10-22-39,60,44.375,15.625,1,-0.0625,1,18.759999999999998
29,10-22-40,60,44.4375,15.5625,1,0.0625,1,12.4475
30,10-22-43,60,44.3125,15.6875,1,-0.125,1,21.947499999999998
31,10-22-44,60,44.3125,15.6875,1,0.0,1,15.6975
32,10-22-47,60,44.3125,15.6875,1,0.0,1,15.6975
33,10-22-48,60,44.3125,15.6875,1,0.0,1,15.6975
34,10-22-50,60,44.375,15.625,1,0.0625,1,12.51
35,10-22-51,60,44.375,15.625,1,0.0,1,15.635
36,10-22-54,60,44.5625,15.4375,1,0.1875,1,6.0725
37,10-22-55,60,44.5625,15.4375,1,0.0,1,15.4475
38,10-22-58,60,44.6875,15.3125,1,0.125,1,9.0725
39,10-22-59,60,44.75,15.25,1,0.0625,1,12.135
40,10-23-02,60,44.9375,15.0625,1,0.1875,1,5.6975
41,10-23-03,60,45.0625,14.9375,1,0.125,1,8.6975
42,10-23-06,60,45.0625,14.9375,1,0.0,1,14.9475
43,10-23-06,60,45.375,14.625,1,0.3125,0,-0.9900000000000002
44,10-23-10,60,45.3125,14.6875,1,-0.0625,1,17.822499999999998
45,10-23-11,60,45.5,14.5,1,0.1875,1,5.135
46,10-23-14,60,45.9375,14.0625,1,0.4375,0,-7.8025
47,10-23-15,60,46.0625,13.9375,1,0.125,1,7.6975
48,10-23-18,60,46.5,13.5,1,0.4375,0,-8.365
49,10-23-19,60,46.625,13.375,1,0.125,1,7.135
50,10-23-23,60,46.625,13.375,1,0.0,1,13.385
51,10-23-24,60,46.625,13.375,1,0.0,1,13.385
52,10-23-26,60,46.4375,13.5625,1,-0.1875,1,22.947499999999998
53,10-23-27,60,46.4375,13.5625,1,0.0,1,13.5725
54,10-23-30,60,46.375,13.625,1,-0.0625,1,16.759999999999998
55,10-23-31,60,46.375,13.625,1,0.0,1,13.635
56,10-23-34,60,46.4375,13.5625,1,0.0625,1,10.4475
57,10-23-35,60,46.4375,13.5625,1,0.0,1,13.5725
58,10-23-38,60,46.6875,13.3125,1,0.25,0.8,0.8224999999999998
59,10-23-39,60,46.75,13.25,1,0.0625,1,10.135
60,10-23-42,60,46.75,13.25,1,0.0,1,13.26
61,10-23-43,60,46.8125,13.1875,1,0.0625,1,10.0725
62,10-23-46,60,46.6875,13.3125,1,-0.125,1,19.572499999999998
63,10-23-47,60,46.75,13.25,1,0.0625,1,10.135
64,10-23-50,60,46.6875,13.3125,1,-0.0625,1,16.447499999999998
65,10-23-51,60,46.6875,13.3125,1,0.0,1,13.3225
66,10-23-54,60,46.75,13.25,1,0.0625,1,10.135
67,10-23-55,60,46.75,13.25,1,0.0,1,13.26
68,10-23-58,60,46.75,13.25,1,0.0,1,13.26
69,10-23-59,60,46.875,13.125,1,0.125,1,6.885
70,10-24-01,60,47.0,13.0,1,0.125,1,6.76
71,10-24-03,60,47.125,12.875,1,0.125,1,6.635
72,10-24-05,60,47.1875,12.8125,1,0.0625,1,9.6975
73,10-24-06,60,47.3125,12.6875,1,0.125,1,6.4475
74,10-24-09,60,47.4375,12.5625,1,0.125,1,6.3225
75,10-24-10,60,47.4375,12.5625,1,0.0,1,12.5725
76,10-24-13,60,47.5625,12.4375,1,0.125,1,6.1975
77,10-24-13,60,47.625,12.375,1,0.0625,1,9.26
78,10-24-16,60,47.9375,12.0625,1,0.3125,0,-3.5525
79,10-24-17,60,48.0625,11.9375,1,0.125,1,5.6975
80,10-24-21,60,48.3125,11.6875,1,0.25,0,-0.8025000000000002
81,10-24-22,60,48.5,11.5,1,0.1875,1,2.135
82,10-24-25,60,48.8125,11.1875,1,0.3125,0,-4.4275
83,10-24-26,60,48.875,11.125,1,0.0625,1,8.01
84,10-24-29,60,48.8125,11.1875,1,-0.0625,1,14.3225
85,10-24-30,60,48.8125,11.1875,1,0.0,1,11.1975
