stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,10-26-59,60,54.75,5.25,1,0,1,5.26
1,10-26-59,60,54.75,5.25,1,0.0,1,5.26
2,10-27-02,60,54.75,5.25,1,0.0,1,5.26
3,10-27-03,60,54.875,5.125,1,0.125,0,-1.1150000000000002
4,10-27-06,60,54.875,5.125,1,0.0,1,5.135
5,10-27-06,60,55.125,4.875,1,0.25,0,-7.615
6,10-27-09,60,55.125,4.875,1,0.0,1,4.885
7,10-27-09,60,55.375,4.625,1,0.25,0,-7.865
8,10-27-13,60,55.375,4.625,1,0.0,1,4.635
9,10-27-13,60,55.5,4.5,1,0.125,0,-1.7400000000000002
10,10-27-16,60,55.5,4.5,1,0.0,1,4.51
11,10-27-16,60,55.5,4.5,1,0.0,1,4.51
12,10-27-19,60,55.5,4.5,1,0.0,1,4.51
13,10-27-19,60,55.625,4.375,1,0.125,0,-1.8650000000000002
14,10-27-22,60,55.625,4.375,1,0.0,1,4.385
15,10-27-22,60,55.75,4.25,1,0.125,0,-1.9900000000000002
16,10-27-25,60,55.75,4.25,1,0.0,1,4.26
17,10-27-25,60,55.75,4.25,1,0.0,1,4.26
18,10-27-28,60,55.75,4.25,1,0.0,1,4.26
19,10-27-28,60,55.75,4.25,1,0.0,1,4.26
20,10-27-31,60,55.75,4.25,1,0.0,1,4.26
21,10-27-31,60,55.75,4.25,1,0.0,1,4.26
22,10-27-34,60,55.75,4.25,1,0.0,1,4.26
23,10-27-34,60,55.875,4.125,1,0.125,0,-2.115
24,10-27-37,60,55.875,4.125,1,0.0,1,4.135
25,10-27-37,60,55.875,4.125,1,0.0,1,4.135
26,10-27-40,60,55.875,4.125,1,0.0,1,4.135
27,10-27-41,60,55.875,4.125,1,0.0,1,4.135
28,10-27-43,60,55.875,4.125,1,0.0,1,4.135
29,10-27-44,60,55.875,4.125,1,0.0,1,4.135
30,10-27-46,60,55.875,4.125,1,0.0,1,4.135
31,10-27-47,60,56.0,4.0,1,0.125,0,-2.24
32,10-27-49,60,56.0,4.0,1,0.0,1,4.01
33,10-27-50,60,56.125,3.875,1,0.125,0,-2.365
34,10-27-53,60,56.125,3.875,1,0.0,1,3.885
35,10-27-54,60,56.625,3.375,1,0.5,0,-21.615000000000002
36,10-27-57,60,56.625,3.375,1,0.0,1,3.385
37,10-27-57,60,57.0,3.0,1,0.375,0,-15.74
38,10-28-00,60,57.0,3.0,1,0.0,1,3.01
39,10-28-00,60,57.0,3.0,1,0.0,1,3.01
40,10-28-03,60,57.0,3.0,1,0.0,1,3.01
41,10-28-03,60,57.375,2.625,1,0.375,0,-16.115000000000002
42,10-28-06,60,57.375,2.625,1,0.0,1,2.635
43,10-28-06,60,57.375,2.625,1,0.0,1,2.635
44,10-28-09,60,57.375,2.625,1,0.0,1,2.635
45,10-28-10,60,57.375,2.625,1,0.0,1,2.635
46,10-28-12,60,57.375,2.625,1,0.0,1,2.635
47,10-28-13,60,57.25,2.75,1,-0.125,1,9.01
48,10-28-15,60,57.25,2.75,1,0.0,1,2.76
49,10-28-16,60,57.25,2.75,1,0.0,1,2.76
50,10-28-18,60,57.25,2.75,1,0.0,1,2.76
51,10-28-18,60,57.125,2.875,1,-0.125,1,9.135
52,10-28-21,60,57.125,2.875,1,0.0,1,2.885
53,10-28-21,60,57.25,2.75,1,0.125,0,-3.49
54,10-28-24,60,57.25,2.75,1,0.0,1,2.76
55,10-28-25,60,57.25,2.75,1,0.0,1,2.76
56,10-28-28,60,57.25,2.75,1,0.0,1,2.76
