stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,20-48-27,60,56.125,3.875,1,0,1,3.885
1,20-48-27,60,56.1875,3.8125,1,0.0625,0.697,0.6974999999999998
2,20-48-27,60,56.1875,3.8125,1,0.0,1,3.8225
3,20-48-32,60,56.125,3.875,1,-0.0625,1,7.01
4,20-48-33,60,56.1875,3.8125,1,0.0625,0.697,0.6974999999999998
5,20-48-36,60,56.1875,3.8125,1,0.0,1,3.8225
6,20-48-37,60,56.1875,3.8125,1,0.0,1,3.8225
7,20-48-40,60,56.25,3.75,1,0.0625,0.635,0.6349999999999998
8,20-48-40,60,56.25,3.75,1,0.0,1,3.76
9,20-48-44,60,56.25,3.75,1,0.0,1,3.76
10,20-48-44,60,56.3125,3.6875,1,0.0625,0.572,0.5724999999999998
11,20-48-47,60,56.3125,3.6875,1,0.0,1,3.6975
12,20-48-48,60,56.3125,3.6875,1,0.0,1,3.6975
13,20-48-51,60,56.3125,3.6875,1,0.0,1,3.6975
14,20-48-52,60,56.375,3.625,1,0.0625,0.51,0.5099999999999998
15,20-48-55,60,56.3125,3.6875,1,-0.0625,1,6.8225
16,20-48-56,60,56.375,3.625,1,0.0625,0.51,0.5099999999999998
17,20-48-59,60,56.375,3.625,1,0.0,1,3.635
18,20-49-00,60,56.4375,3.5625,1,0.0625,0.447,0.4474999999999998
19,20-49-03,60,56.4375,3.5625,1,0.0,1,3.5725
20,20-49-04,60,56.4375,3.5625,1,0.0,1,3.5725
21,20-49-07,60,56.5,3.5,1,0.0625,0.385,0.3849999999999998
22,20-49-08,60,56.5,3.5,1,0.0,1,3.51
23,20-49-11,60,56.4375,3.5625,1,-0.0625,1,6.6975
24,20-49-12,60,56.4375,3.5625,1,0.0,1,3.5725
25,20-49-15,60,56.4375,3.5625,1,0.0,1,3.5725
26,20-49-16,60,56.4375,3.5625,1,0.0,1,3.5725
27,20-49-19,60,56.4375,3.5625,1,0.0,1,3.5725
28,20-49-19,60,56.5,3.5,1,0.0625,0.385,0.3849999999999998
29,20-49-22,60,56.4375,3.5625,1,-0.0625,1,6.6975
30,20-49-23,60,56.4375,3.5625,1,0.0,1,3.5725
31,20-49-26,60,56.4375,3.5625,1,0.0,1,3.5725
32,20-49-27,60,56.4375,3.5625,1,0.0,1,3.5725
33,20-49-30,60,56.4375,3.5625,1,0.0,1,3.5725
34,20-49-31,60,56.4375,3.5625,1,0.0,1,3.5725
35,20-49-34,60,56.5,3.5,1,0.0625,0.385,0.3849999999999998
36,20-49-35,60,56.5,3.5,1,0.0,1,3.51
37,20-49-38,60,56.5625,3.4375,1,0.0625,0.322,0.3224999999999998
38,20-49-39,60,56.625,3.375,1,0.0625,0.26,0.2599999999999998
39,20-49-42,60,56.625,3.375,1,0.0,1,3.385
40,20-49-43,60,56.6875,3.3125,1,0.0625,0.197,0.1974999999999998
41,20-49-46,60,56.6875,3.3125,1,0.0,1,3.3225
42,20-49-47,60,56.6875,3.3125,1,0.0,1,3.3225
43,20-49-50,60,56.75,3.25,1,0.0625,0.135,0.1349999999999998
44,20-49-51,60,56.75,3.25,1,0.0,1,3.26
45,20-49-54,60,56.8125,3.1875,1,0.0625,0.072,0.07249999999999979
46,20-49-55,60,56.8125,3.1875,1,0.0,1,3.1975
47,20-49-58,60,56.8125,3.1875,1,0.0,1,3.1975
48,20-49-59,60,56.875,3.125,1,0.0625,0.01,0.009999999999999787
49,20-50-02,60,56.9375,3.0625,1,0.0625,0,-0.05250000000000021
50,20-50-03,60,57.0,3.0,1,0.0625,0,-0.11500000000000021
51,20-50-04,60,57.0,3.0,1,0.0,1,3.01
52,20-50-04,60,57.0625,2.9375,1,0.0625,0,-0.1775000000000002
53,20-50-07,60,57.125,2.875,1,0.0625,0,-0.2400000000000002
54,20-50-07,60,57.1875,2.8125,1,0.0625,0,-0.3025000000000002
55,20-50-08,60,57.1875,2.8125,1,0.0,1,2.8225
56,20-50-09,60,57.25,2.75,1,0.0625,0,-0.3650000000000002
57,20-50-11,60,57.3125,2.6875,1,0.0625,0,-0.4275000000000002
58,20-50-12,60,57.375,2.625,1,0.0625,0,-0.4900000000000002
59,20-50-13,60,57.375,2.625,1,0.0,1,2.635
60,20-50-14,60,57.4375,2.5625,1,0.0625,0,-0.5525000000000002
61,20-50-16,60,57.4375,2.5625,1,0.0,1,2.5725
62,20-50-17,60,57.4375,2.5625,1,0.0,1,2.5725
63,20-50-20,60,57.4375,2.5625,1,0.0,1,2.5725
64,20-50-21,60,57.5,2.5,1,0.0625,0,-0.6150000000000002
65,20-50-23,60,57.5625,2.4375,1,0.0625,0,-0.6775000000000002
66,20-50-24,60,57.5625,2.4375,1,0.0,1,2.4475
67,20-50-25,60,57.5625,2.4375,1,0.0,1,2.4475
68,20-50-28,60,57.625,2.375,1,0.0625,0,-0.7400000000000002
69,20-50-28,60,57.6875,2.3125,1,0.0625,0,-0.8025000000000002
70,20-50-30,60,57.6875,2.3125,1,0.0,1,2.3225
71,20-50-30,60,57.6875,2.3125,1,0.0,1,2.3225
72,20-50-33,60,57.75,2.25,1,0.0625,0,-0.8650000000000002
73,20-50-34,60,57.75,2.25,1,0.0,1,2.26
74,20-50-36,60,57.875,2.125,1,0.125,0,-4.115
75,20-50-37,60,57.9375,2.0625,1,0.0625,0,-1.0525000000000002
76,20-50-38,60,57.9375,2.0625,1,0.0,1,2.0725
77,20-50-39,60,58.0,2.0,1,0.0625,0,-1.1150000000000002
78,20-50-41,60,58.0,2.0,1,0.0,1,2.01
79,20-50-42,60,58.0,2.0,1,0.0,1,2.01
80,20-50-45,60,58.0,2.0,1,0.0,1,2.01
81,20-50-46,60,58.0625,1.9375,1,0.0625,0,-1.1775
82,20-50-48,60,58.0625,1.9375,1,0.0,1,1.9475
83,20-50-49,60,58.0625,1.9375,1,0.0,1,1.9475
84,20-50-52,60,58.0625,1.9375,1,0.0,1,1.9475
85,20-50-53,60,58.0625,1.9375,1,0.0,1,1.9475
86,20-50-56,60,58.0625,1.9375,1,0.0,1,1.9475
87,20-50-56,60,58.0625,1.9375,1,0.0,1,1.9475
88,20-50-59,60,58.125,1.875,1,0.0625,0,-1.24
89,20-51-00,60,58.125,1.875,1,0.0,1,1.885
90,20-51-02,60,58.125,1.875,1,0.0,1,1.885
91,20-51-03,60,58.1875,1.8125,1,0.0625,0,-1.3025
92,20-51-05,60,58.1875,1.8125,1,0.0,1,1.8225
93,20-51-06,60,58.25,1.75,1,0.0625,0,-1.365
94,20-51-08,60,58.3125,1.6875,1,0.0625,0,-1.4275
95,20-51-09,60,58.375,1.625,1,0.0625,0,-1.49
96,20-51-10,60,58.375,1.625,1,0.0,1,1.635
97,20-51-11,60,58.4375,1.5625,1,0.0625,0,-1.5525
98,20-51-13,60,58.5,1.5,1,0.0625,0,-1.615
99,20-51-14,60,58.5625,1.4375,1,0.0625,0,-1.6775
100,20-51-15,60,58.5625,1.4375,1,0.0,1,1.4475
101,20-51-15,60,58.625,1.375,1,0.0625,0,-1.74
102,20-51-18,60,58.625,1.375,1,0.0,1,1.385
103,20-51-18,60,58.625,1.375,1,0.0,1,1.385
104,20-51-21,60,58.6875,1.3125,1,0.0625,0,-1.8025
105,20-51-22,60,58.6875,1.3125,1,0.0,1,1.3225
106,20-51-25,60,58.75,1.25,1,0.0625,0,-1.865
107,20-51-26,60,58.75,1.25,1,0.0,1,1.26
108,20-51-28,60,58.8125,1.1875,1,0.0625,0,-1.9275
109,20-51-29,60,58.875,1.125,1,0.0625,0,-1.99
110,20-51-30,60,58.875,1.125,1,0.0,1,1.135
111,20-51-30,60,58.875,1.125,1,0.0,1,1.135
112,20-51-33,60,58.9375,1.0625,1,0.0625,0,-2.0525
113,20-51-34,60,58.9375,1.0625,1,0.0,1,1.0725
114,20-51-36,60,59.0,1.0,1,0.0625,0,-2.115
115,20-51-37,60,59.0,1.0,1,0.0,1,1.01
116,20-51-39,60,59.0,1.0,1,0.0,1,1.01
117,20-51-40,60,59.0625,0.9375,1,0.0625,0,-2.1775
118,20-51-42,60,59.0625,0.9375,1,0.0,0.948,0.9475
119,20-51-43,60,59.125,0.875,1,0.0625,0,-2.24
120,20-51-45,60,59.1875,0.8125,1,0.0625,0,-2.3025
121,20-51-46,60,59.1875,0.8125,1,0.0,0.823,0.8225
122,20-51-47,60,59.25,0.75,1,0.0625,0,-2.365
123,20-51-49,60,59.3125,0.6875,1,0.0625,0,-2.4275
124,20-51-50,60,59.3125,0.6875,1,0.0,0.698,0.6975
125,20-51-51,60,59.375,0.625,1,0.0625,0,-2.49
126,20-51-53,60,59.375,0.625,1,0.0,0.635,0.635
127,20-51-54,60,59.4375,0.5625,1,0.0625,0,-2.5525
128,20-51-56,60,59.4375,0.5625,1,0.0,0.573,0.5725
129,20-51-57,60,59.5,0.5,1,0.0625,0,-2.615
130,20-51-59,60,59.5,0.5,1,0.0,0.51,0.51
131,20-52-00,60,59.5,0.5,1,0.0,0.51,0.51
132,20-52-03,60,59.5625,0.4375,1,0.0625,0,-2.6775
133,20-52-04,60,59.625,0.375,1,0.0625,0,-2.74
134,20-52-05,60,59.625,0.375,1,0.0,0.385,0.385
135,20-52-06,60,59.6875,0.3125,1,0.0625,0,-2.8025
136,20-52-08,60,59.75,0.25,1,0.0625,0,-2.865
137,20-52-09,60,59.75,0.25,1,0.0,0.26,0.26
138,20-52-10,60,59.8125,0.1875,1,0.0625,0,-2.9275
139,20-52-12,60,59.9375,0.0625,1,0.125,0,-6.1775
140,20-52-13,60,60.0,0.0,1.0,0.0625,0,-3.115
141,20-52-17,60,60.0,0.0,1.0,0.0,0.01,0.01
142,20-52-17,60,60.0625,-0.0625,0.9375,0.0625,0,-3.178125
143,20-52-17,60,60.0625,-0.0625,0.875,0.0,0,-0.05375
144,20-52-17,60,60.0625,-0.0625,0.8125,0.0,0,-0.054375
145,20-52-17,60,60.0625,-0.0625,0.75,0.0,0,-0.055
146,20-52-20,60,60.0625,-0.0625,0.6875,0.0,0,-0.055625
147,20-52-21,60,60.0625,-0.0625,0.625,0.0,0,-0.05625
148,20-52-22,60,60.125,-0.125,0.5,0.0625,0,-3.245
149,20-52-23,60,60.125,-0.125,0.375,0.0,0,-0.12125
150,20-52-23,60,60.125,-0.125,0.25,0.0,0,-0.1225
151,20-52-24,60,60.1875,-0.1875,0.0625,0.0625,0,-3.311875
152,20-52-25,60,60.1875,-0.1875,0,0.0,0,-0.1875
153,20-52-26,60,60.1875,-0.1875,0,0.0,0,-0.1875
154,20-52-27,60,60.25,-0.25,0,0.0625,0,-3.375
155,20-52-28,60,60.25,-0.25,0,0.0,0,-0.25
156,20-52-29,60,60.25,-0.25,0,0.0,0,-0.25
157,20-52-30,60,60.25,-0.25,0,0.0,0,-0.25
158,20-52-30,60,60.3125,-0.3125,0,0.0625,0,-3.4375
159,20-52-31,60,60.3125,-0.3125,0,0.0,0,-0.3125
160,20-52-32,60,60.3125,-0.3125,0,0.0,0,-0.3125
161,20-52-33,60,60.3125,-0.3125,0,0.0,0,-0.3125
162,20-52-34,60,60.3125,-0.3125,0,0.0,0,-0.3125
163,20-52-35,60,60.375,-0.375,0,0.0625,0,-3.5
164,20-52-36,60,60.3125,-0.3125,0,-0.0625,1,2.8125
165,20-52-37,60,60.3125,-0.3125,0,0.0,0,-0.3125
166,20-52-39,60,60.1875,-0.1875,0,-0.125,1,6.0625
